"","Ukraine","United Kingdom","Uganda","United Arab Emirates","Turkey","Trinidad and Tobago","Thailand","United Republic of Tanzania","China, Taiwan Province of","Syrian Arab Republic","Switzerland","Sweden","Suriname","Sudan (former)","Spain","South Africa","Singapore","Slovakia","Slovenia","Saudi Arabia","Russian Federation","Romania","Zimbabwe","Qatar","Portugal","Poland","Philippines","Peru","Paraguay","Czechia","Panama","Norway","Niger","Nicaragua","New Zealand","The former Yugoslav Republic of Macedonia","New Caledonia","Netherlands Antilles (former)","Netherlands","Nepal","Republic of Moldova","Mozambique","Morocco","Mongolia","Mexico","Mauritius","Mauritania","Malta","Maldives","Malaysia","Malawi","Madagascar","China, Macao SAR","Lithuania","Libya","Lebanon","Lao People's Democratic Republic","Latvia","Kuwait","Republic of Korea","Democratic People's Republic of Korea","Cambodia","Kenya","Jordan","Japan","Jamaica","Kazakhstan","Côte d'Ivoire","Italy","Israel","Ireland","Iran (Islamic Republic of)","Indonesia","India","Iceland","Croatia","Hungary","China, Hong Kong SAR","Honduras","Guatemala","Guam","Greece","Ghana","Bosnia and Herzegovina","Germany","Gabon","French Polynesia","France","Finland","Fiji","Faroe Islands","Estonia","El Salvador","Egypt","Ecuador","Dominican Republic","Denmark","Azerbaijan","Cyprus","Cuba","Costa Rica","Congo","Colombia","China, mainland","Chile","Sri Lanka","Cayman Islands","Cabo Verde","Canada","Cameroon","Myanmar","Bulgaria","Brunei Darussalam","Aruba","Brazil","Bolivia (Plurinational State of)","Bangladesh","Barbados","Austria","Australia","Argentina","Angola","Algeria","Afghanistan"
"Sweden"," 0.0000","      0.000","0","    0.00","     0.0","0","    0.000","0","   0.0000","   0.000","0.000000e+00","    0.0000","0","0","    0.000","   0.000","   0.00000","   0.00000","   0.000000","    0.00000","   0.0000","     0.00000","    0.00","  0.000","0.000000e+00","0","   0.000000","    0.00","   0.000"," 0.00000","0","   0.000","0","0"," 0.00000","     0.00000","0","0.000000","    0.00000","   0.000","   0.0000000","  0.0000","0.000000","0"," 0.00000","  0.00000","0","0","0","     0.00000","    0.00","  0.0000","0","0","0","0.000000","0","0","   0.00000","0","0","  0.0000","0","  0.0000","   0.00000","0","0","0","     0.00000","   0.00000","   0.000000","     0.0","    0.00","0","0","  0.0000","0.000000e+00","0.000000","0","0","0","     0.00","0","   0.000","     0.00000","0","0","       0.000","0.000000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","0.000000","0","0","0","   0.00000","      0","    0.00","    0.000","0","0","   0.0000","0.000000","0","      0","0","0","   0.000","   0.000","    0.000","0","     0.00000","  0.00000","0","  0.0000"," 0.00000","0.000000"
"Suriname"," 0.0000","      0.000","0","    0.00","     0.0","0","    0.000","0","   0.0000","   0.000","0.000000e+00","    0.0000","0","0","    0.000","   0.000","   0.00000","   0.00000","   0.000000","    0.00000","   0.0000","     0.00000","    0.00","  0.000","0.000000e+00","0","   0.000000","    0.00","   0.000"," 0.00000","0","   0.000","0","0"," 0.00000","     0.00000","0","0.000000","    0.00000","   0.000","   0.0000000","  0.0000","0.000000","0"," 0.00000","  0.00000","0","0","0","     0.00000","    0.00","  0.0000","0","0","0","0.000000","0","0","   0.00000","0","0","  0.0000","0","  0.0000","   0.00000","0","0","0","     0.00000","   0.00000","   0.000000","     0.0","    0.00","0","0","  0.0000","0.000000e+00","0.000000","0","0","0","     0.00","0","   0.000","     0.00000","0","0","       0.000","0.000000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","0.000000","0","0","0","   0.00000","      0","    0.00","    0.000","0","0","   0.0000","0.000000","0","      0","0","0","   0.000","   0.000","    0.000","0","     0.00000","  0.00000","0","  0.0000"," 0.00000","0.000000"
"Sudan (former)"," 0.0000","      0.000","0","    0.00","     0.0","0","    0.000","0","   0.0000","   0.000","0.000000e+00","    0.0000","0","0","    0.000","   0.000","   0.00000","   0.00000","   0.000000","    0.00000","   0.0000","     0.00000","    0.00","  0.000","0.000000e+00","0","   0.000000","    0.00","   0.000"," 0.00000","0","   0.000","0","0"," 0.00000","     0.00000","0","0.000000","    0.00000","   0.000","   0.0000000","  0.0000","0.000000","0"," 0.00000","  0.00000","0","0","0","     0.00000","    0.00","  0.0000","0","0","0","0.000000","0","0","   0.00000","0","0","  0.0000","0","  0.0000","   0.00000","0","0","0","     0.00000","   0.00000","   0.000000","     0.0","    0.00","0","0","  0.0000","0.000000e+00","0.000000","0","0","0","     0.00","0","   0.000","     0.00000","0","0","       0.000","0.000000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","0.000000","0","0","0","   0.00000","      0","    0.00","    0.000","0","0","   0.0000","0.000000","0","      0","0","0","   0.000","   0.000","    0.000","0","     0.00000","  0.00000","0","  0.0000"," 0.00000","0.000000"
"Spain"," 0.0000","      0.000","0","    0.00","     0.0","0","    0.000","0","   0.0000","   0.000","0.000000e+00","17026.7380","0","0","    0.000","   0.000","   0.00000","   0.00000","   0.000000","    0.00000","   0.0000","     0.00000","    0.00","  0.000","7.612655e+07","0","   0.000000","    0.00","   0.000"," 0.00000","0","   0.000","0","0"," 0.00000","     0.00000","0","0.000000","    0.00000","   0.000","   0.0000000","  0.0000","0.000000","0"," 0.00000","  0.00000","0","0","0","     0.00000","    0.00","  0.0000","0","0","0","0.000000","0","0","   0.00000","0","0","  0.0000","0","  0.0000","   0.00000","0","0","0","     0.00000","   0.00000","   0.000000","     0.0","    0.00","0","0","  0.0000","0.000000e+00","0.000000","0","0","0","     0.00","0","   0.000"," 51080.21390","0","0","18610224.599","0.000000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","0.000000","0","0","0","   0.00000","      0","    0.00","    0.000","0","0","   0.0000","0.000000","0","      0","0","0","   0.000","   0.000","    0.000","0","     0.00000","  0.00000","0","  0.0000"," 0.00000","0.000000"
"South Africa"," 0.0000","      0.000","0","    0.00","     0.0","0","    0.000","0","2620.8865","   0.000","0.000000e+00","    0.0000","0","0","    0.000","   0.000","   0.00000","   0.00000","   0.000000","    0.00000","   0.0000","     0.00000","10888.59","  0.000","0.000000e+00","0","   0.000000","    0.00","   0.000"," 0.00000","0","   0.000","0","0"," 0.00000","     0.00000","0","0.000000","    0.00000","   0.000","   0.0000000","857.7447","0.000000","0"," 0.00000","  0.00000","0","0","0","  1048.35461","83487.15","  0.0000","0","0","0","0.000000","0","0","   0.00000","0","0","  0.0000","0","  0.0000","   0.00000","0","0","0","     0.00000","   0.00000","   0.000000","     0.0","    0.00","0","0","  0.0000","0.000000e+00","0.000000","0","0","0","     0.00","0","   0.000","     0.00000","0","0","       0.000","0.000000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","0.000000","0","0","0","   0.00000","      0","    0.00","29520.713","0","0","   0.0000","0.000000","0","      0","0","0","   0.000","   0.000","    0.000","0","     0.00000","  0.00000","0","810.0922"," 0.00000","0.000000"
"Singapore"," 0.0000","      0.000","0","    0.00","     0.0","0","    0.000","0","   0.0000","   0.000","0.000000e+00","    0.0000","0","0","    0.000","   0.000","   0.00000","   0.00000","   0.000000","    0.00000","   0.0000","     0.00000","    0.00","  0.000","0.000000e+00","0","   0.000000","    0.00","   0.000"," 0.00000","0","   0.000","0","0"," 0.00000","     0.00000","0","0.000000","    0.00000","   0.000","   0.0000000","  0.0000","0.000000","0"," 0.00000","  0.00000","0","0","0","     0.00000","    0.00","  0.0000","0","0","0","0.000000","0","0","   0.00000","0","0","  0.0000","0","  0.0000","   0.00000","0","0","0","     0.00000","   0.00000","   0.000000","     0.0","    0.00","0","0","  0.0000","0.000000e+00","0.000000","0","0","0","     0.00","0","   0.000","     0.00000","0","0","       0.000","0.000000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","0.000000","0","0","0","   0.00000","      0","    0.00","    0.000","0","0","   0.0000","0.000000","0","      0","0","0","   0.000","   0.000","    0.000","0","     0.00000","  0.00000","0","  0.0000"," 0.00000","0.000000"
"Slovakia"," 0.0000","      0.000","0","    0.00","     0.0","0","    0.000","0","   0.0000","   0.000","0.000000e+00","    0.0000","0","0","    0.000","   0.000","   0.00000","   0.00000","   0.000000","    0.00000","   0.0000","     0.00000","    0.00","  0.000","0.000000e+00","0","   0.000000","    0.00","   0.000"," 0.00000","0","   0.000","0","0"," 0.00000","     0.00000","0","0.000000","    0.00000","   0.000","   0.0000000","  0.0000","0.000000","0"," 0.00000","  0.00000","0","0","0","     0.00000","    0.00","  0.0000","0","0","0","0.000000","0","0","   0.00000","0","0","  0.0000","0","  0.0000","   0.00000","0","0","0","     0.00000","   0.00000","   0.000000","     0.0","    0.00","0","0","  0.0000","0.000000e+00","0.000000","0","0","0","     0.00","0","   0.000","     0.00000","0","0","       0.000","0.000000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","0.000000","0","0","0","   0.00000","      0","    0.00","    0.000","0","0","   0.0000","0.000000","0","      0","0","0","   0.000","   0.000","    0.000","0","     0.00000","  0.00000","0","  0.0000"," 0.00000","0.000000"
"Slovenia"," 0.0000","      0.000","0","    0.00","     0.0","0","    0.000","0","   0.0000","   0.000","0.000000e+00","    0.0000","0","0","    0.000","   0.000","   0.00000","   0.00000","   0.000000","    0.00000","   0.0000","     0.00000","    0.00","  0.000","0.000000e+00","0","   0.000000","    0.00","   0.000"," 0.00000","0","   0.000","0","0"," 0.00000","     0.00000","0","0.000000","    0.00000","   0.000","   0.0000000","  0.0000","0.000000","0"," 0.00000","  0.00000","0","0","0","     0.00000","    0.00","  0.0000","0","0","0","0.000000","0","0","   0.00000","0","0","  0.0000","0","  0.0000","   0.00000","0","0","0","     0.00000","   0.00000","   0.000000","     0.0","    0.00","0","0","  0.0000","0.000000e+00","0.000000","0","0","0","     0.00","0","   0.000","     0.00000","0","0","       0.000","0.000000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","0.000000","0","0","0","   0.00000","      0","    0.00","    0.000","0","0","   0.0000","0.000000","0","      0","0","0","   0.000","   0.000","    0.000","0","     0.00000","  0.00000","0","  0.0000"," 0.00000","0.000000"
"Saudi Arabia"," 0.0000","      0.000","0","    0.00","     0.0","0","    0.000","0","   0.0000","   0.000","0.000000e+00","    0.0000","0","0","    0.000","   0.000","   0.00000","   0.00000","   0.000000","    0.00000","   0.0000","     0.00000","    0.00","  0.000","0.000000e+00","0","   0.000000","    0.00","   0.000"," 0.00000","0","   0.000","0","0"," 0.00000","     0.00000","0","0.000000","    0.00000","   0.000","   0.0000000","  0.0000","0.000000","0"," 0.00000","  0.00000","0","0","0","     0.00000","    0.00","  0.0000","0","0","0","0.000000","0","0","   0.00000","0","0","  0.0000","0","  0.0000","   0.00000","0","0","0","     0.00000","   0.00000","   0.000000","     0.0","    0.00","0","0","  0.0000","0.000000e+00","0.000000","0","0","0","     0.00","0","   0.000","     0.00000","0","0","       0.000","0.000000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","0.000000","0","0","0","   0.00000","      0","    0.00","    0.000","0","0","   0.0000","0.000000","0","      0","0","0","   0.000","   0.000","    0.000","0","     0.00000","  0.00000","0","  0.0000"," 0.00000","0.000000"
"Russian Federation"," 0.0000","      0.000","0","    0.00","     0.0","0","    0.000","0","   0.0000","   0.000","0.000000e+00","    0.0000","0","0","    0.000","   0.000","   0.00000","   0.00000","   0.000000","    0.00000","   0.0000","     0.00000","    0.00","  0.000","0.000000e+00","0","   0.000000","    0.00","   0.000"," 0.00000","0","   0.000","0","0"," 0.00000","     0.00000","0","0.000000","    0.00000","   0.000","   0.0000000","  0.0000","0.000000","0"," 0.00000","  0.00000","0","0","0","     0.00000","    0.00","  0.0000","0","0","0","0.000000","0","0","   0.00000","0","0","  0.0000","0","  0.0000","   0.00000","0","0","0","     0.00000","   0.00000","   0.000000","     0.0","    0.00","0","0","  0.0000","0.000000e+00","0.000000","0","0","0","     0.00","0","   0.000","     0.00000","0","0","       0.000","0.000000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","0.000000","0","0","0","   0.00000","      0","    0.00","    0.000","0","0","   0.0000","0.000000","0","      0","0","0","   0.000","   0.000","    0.000","0","     0.00000","  0.00000","0","  0.0000"," 0.00000","0.000000"
"Romania"," 0.0000"," 134332.825","0","    0.00","     0.0","0","    0.000","0","   0.0000","   0.000","0.000000e+00","    0.0000","0","0","    0.000","   0.000","   0.00000","   0.00000","   0.000000","    0.00000","   0.0000","     0.00000","    0.00","  0.000","0.000000e+00","0","   0.000000","    0.00","   0.000"," 0.00000","0","   0.000","0","0"," 0.00000","     0.00000","0","0.000000","    0.00000","   0.000","1034.1249075","  0.0000","0.000000","0"," 0.00000","  0.00000","0","0","0","     0.00000","    0.00","  0.0000","0","0","0","0.000000","0","0","   0.00000","0","0","  0.0000","0","  0.0000","   0.00000","0","0","0","777248.28051","   0.00000","   0.000000","     0.0","    0.00","0","0","  0.0000","1.046638e+06","0.000000","0","0","0","121096.03","0","   0.000","     0.00000","0","0","       0.000","0.000000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","0.000000","0","0","0","   0.00000","      0","    0.00","    0.000","0","0","   0.0000","0.000000","0","1948705","0","0","   0.000","   0.000","    0.000","0","  2895.54974","  0.00000","0","  0.0000"," 0.00000","0.000000"
"Zimbabwe"," 0.0000","      0.000","0","    0.00","     0.0","0","    0.000","0","   0.0000","   0.000","0.000000e+00","    0.0000","0","0","    0.000","   0.000","   0.00000","   0.00000","   0.000000","    0.00000","   0.0000","     0.00000","    0.00","  0.000","0.000000e+00","0","   0.000000","    0.00","   0.000"," 0.00000","0","   0.000","0","0"," 0.00000","     0.00000","0","0.000000","    0.00000","   0.000","   0.0000000","  0.0000","0.000000","0"," 0.00000","  0.00000","0","0","0","     0.00000","    0.00","  0.0000","0","0","0","0.000000","0","0","   0.00000","0","0","  0.0000","0","  0.0000","   0.00000","0","0","0","     0.00000","   0.00000","   0.000000","     0.0","    0.00","0","0","  0.0000","0.000000e+00","0.000000","0","0","0","     0.00","0","   0.000","     0.00000","0","0","       0.000","0.000000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","0.000000","0","0","0","   0.00000","      0","    0.00","    0.000","0","0","   0.0000","0.000000","0","      0","0","0","   0.000","   0.000","    0.000","0","     0.00000","  0.00000","0","  0.0000"," 0.00000","0.000000"
"Qatar"," 0.0000","      0.000","0","    0.00","     0.0","0","    0.000","0","   0.0000","   0.000","0.000000e+00","    0.0000","0","0","    0.000","   0.000","   0.00000","   0.00000","   0.000000","    0.00000","   0.0000","     0.00000","    0.00","  0.000","0.000000e+00","0","   0.000000","    0.00","   0.000"," 0.00000","0","   0.000","0","0"," 0.00000","     0.00000","0","0.000000","    0.00000","   0.000","   0.0000000","  0.0000","0.000000","0"," 0.00000","  0.00000","0","0","0","     0.00000","    0.00","  0.0000","0","0","0","0.000000","0","0","   0.00000","0","0","  0.0000","0","  0.0000","   0.00000","0","0","0","     0.00000","   0.00000","   0.000000","     0.0","    0.00","0","0","  0.0000","0.000000e+00","0.000000","0","0","0","     0.00","0","   0.000","     0.00000","0","0","       0.000","0.000000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","0.000000","0","0","0","   0.00000","      0","    0.00","    0.000","0","0","   0.0000","0.000000","0","      0","0","0","   0.000","   0.000","    0.000","0","     0.00000","  0.00000","0","  0.0000"," 0.00000","0.000000"
"Portugal"," 0.0000","      0.000","0","    0.00","     0.0","0","    0.000","0","   0.0000","   0.000","0.000000e+00","    0.0000","0","0","    0.000","   0.000","   0.00000","   0.00000","   0.000000","    0.00000","   0.0000","     0.00000","    0.00","  0.000","0.000000e+00","0","   0.000000","    0.00","   0.000"," 0.00000","0","   0.000","0","0"," 0.00000","     0.00000","0","0.000000","    0.00000","   0.000","   0.0000000","  0.0000","0.000000","0"," 0.00000","  0.00000","0","0","0","     0.00000","    0.00","  0.0000","0","0","0","0.000000","0","0","   0.00000","0","0","  0.0000","0","  0.0000","   0.00000","0","0","0","     0.00000","   0.00000","   0.000000","     0.0","    0.00","0","0","  0.0000","0.000000e+00","0.000000","0","0","0","     0.00","0","   0.000","     0.00000","0","0","       0.000","0.000000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","0.000000","0","0","0","   0.00000","      0","    0.00","    0.000","0","0","   0.0000","0.000000","0","      0","0","0","   0.000","   0.000","    0.000","0","     0.00000","  0.00000","0","  0.0000"," 0.00000","0.000000"
"Poland"," 0.0000","      0.000","0","    0.00","     0.0","0","    0.000","0","   0.0000","   0.000","0.000000e+00","    0.0000","0","0","    0.000","   0.000","   0.00000","   0.00000","   0.000000","    0.00000","   0.0000","     0.00000","    0.00","  0.000","0.000000e+00","0","   0.000000","    0.00","   0.000"," 0.00000","0","   0.000","0","0"," 0.00000","     0.00000","0","0.000000","    0.00000","   0.000","   0.0000000","  0.0000","0.000000","0"," 0.00000","  0.00000","0","0","0","     0.00000","    0.00","  0.0000","0","0","0","0.000000","0","0","   0.00000","0","0","  0.0000","0","  0.0000","   0.00000","0","0","0","     0.00000","   0.00000","   0.000000","     0.0","    0.00","0","0","  0.0000","0.000000e+00","0.000000","0","0","0","     0.00","0","   0.000","     0.00000","0","0","       0.000","0.000000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","0.000000","0","0","0","   0.00000","      0","    0.00","    0.000","0","0","   0.0000","0.000000","0","      0","0","0","   0.000","   0.000","    0.000","0","     0.00000","  0.00000","0","  0.0000"," 0.00000","0.000000"
"Philippines"," 0.0000","      0.000","0","    0.00","     0.0","0","    0.000","0","   0.0000","   0.000","0.000000e+00","    0.0000","0","0","    0.000","   0.000","   0.00000","   0.00000","   0.000000","    0.00000","   0.0000","     0.00000","    0.00","  0.000","0.000000e+00","0","   0.000000","    0.00","   0.000"," 0.00000","0","   0.000","0","0"," 0.00000","     0.00000","0","0.000000","    0.00000","   0.000","   0.0000000","  0.0000","0.000000","0"," 0.00000","  0.00000","0","0","0","     0.00000","    0.00","  0.0000","0","0","0","0.000000","0","0","   0.00000","0","0","  0.0000","0","  0.0000","   0.00000","0","0","0","     0.00000","   0.00000","   0.000000","     0.0","    0.00","0","0","  0.0000","0.000000e+00","0.000000","0","0","0","     0.00","0","   0.000","     0.00000","0","0","       0.000","0.000000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","0.000000","0","0","0","   0.00000","      0","    0.00","    0.000","0","0","   0.0000","0.000000","0","      0","0","0","   0.000","   0.000","    0.000","0","     0.00000","  0.00000","0","  0.0000"," 0.00000","0.000000"
"Peru"," 0.0000","      0.000","0","    0.00","     0.0","0","    0.000","0","   0.0000","   0.000","0.000000e+00","    0.0000","0","0","    0.000","   0.000","   0.00000","   0.00000","   0.000000","    0.00000","   0.0000","     0.00000","    0.00","  0.000","0.000000e+00","0","   0.000000","    0.00","   0.000"," 0.00000","0","   0.000","0","0"," 0.00000","     0.00000","0","0.000000","    0.00000","   0.000","   0.0000000","  0.0000","0.000000","0"," 0.00000","  0.00000","0","0","0","     0.00000","    0.00","  0.0000","0","0","0","0.000000","0","0","   0.00000","0","0","  0.0000","0","  0.0000","   0.00000","0","0","0","     0.00000","   0.00000","   0.000000","     0.0","    0.00","0","0","  0.0000","0.000000e+00","0.000000","0","0","0","     0.00","0","   0.000","     0.00000","0","0","       0.000","0.000000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","0.000000","0","0","0","   0.00000","      0","    0.00","    0.000","0","0","   0.0000","0.000000","0","      0","0","0","   0.000","   0.000","    0.000","0","     0.00000","  0.00000","0","  0.0000"," 0.00000","0.000000"
"Paraguay"," 0.0000","      0.000","0","    0.00","     0.0","0","    0.000","0","   0.0000","   0.000","0.000000e+00","    0.0000","0","0","    0.000","   0.000","   0.00000","   0.00000","   0.000000","    0.00000","   0.0000","     0.00000","    0.00","  0.000","0.000000e+00","0","   0.000000","    0.00","   0.000"," 0.00000","0","   0.000","0","0"," 0.00000","     0.00000","0","0.000000","    0.00000","   0.000","   0.0000000","  0.0000","0.000000","0"," 0.00000","  0.00000","0","0","0","     0.00000","    0.00","  0.0000","0","0","0","0.000000","0","0","   0.00000","0","0","  0.0000","0","  0.0000","   0.00000","0","0","0","     0.00000","   0.00000","   0.000000","     0.0","    0.00","0","0","  0.0000","0.000000e+00","0.000000","0","0","0","     0.00","0","   0.000","     0.00000","0","0","       0.000","0.000000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","0.000000","0","0","0","   0.00000","      0","    0.00","    0.000","0","0","   0.0000","0.000000","0","      0","0","0","   0.000","   0.000","    0.000","0","     0.00000","  0.00000","0","  0.0000"," 0.00000","0.000000"
"Czechia"," 0.0000","      0.000","0","    0.00","     0.0","0","    0.000","0","   0.0000","   0.000","0.000000e+00","    0.0000","0","0","    0.000","   0.000","   0.00000","   0.00000","   0.000000","    0.00000","   0.0000","     0.00000","    0.00","  0.000","0.000000e+00","0","   0.000000","    0.00","   0.000"," 0.00000","0","   0.000","0","0"," 0.00000","     0.00000","0","0.000000","    0.00000","   0.000","   0.0000000","  0.0000","0.000000","0"," 0.00000","  0.00000","0","0","0","     0.00000","    0.00","  0.0000","0","0","0","0.000000","0","0","   0.00000","0","0","  0.0000","0","  0.0000","   0.00000","0","0","0","     0.00000","   0.00000","   0.000000","     0.0","    0.00","0","0","  0.0000","0.000000e+00","0.000000","0","0","0","     0.00","0","   0.000","     0.00000","0","0","       0.000","0.000000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","0.000000","0","0","0","   0.00000","      0","    0.00","    0.000","0","0","   0.0000","0.000000","0","      0","0","0","   0.000","   0.000","    0.000","0","     0.00000","  0.00000","0","  0.0000"," 0.00000","0.000000"
"Panama"," 0.0000","      0.000","0","    0.00","     0.0","0","    0.000","0","   0.0000","   0.000","0.000000e+00","    0.0000","0","0","    0.000","   0.000","   0.00000","   0.00000","   0.000000","    0.00000","   0.0000","     0.00000","    0.00","  0.000","0.000000e+00","0","   0.000000","    0.00","   0.000"," 0.00000","0","   0.000","0","0"," 0.00000","     0.00000","0","0.000000","    0.00000","   0.000","   0.0000000","  0.0000","0.000000","0"," 0.00000","  0.00000","0","0","0","     0.00000","    0.00","  0.0000","0","0","0","0.000000","0","0","   0.00000","0","0","  0.0000","0","  0.0000","   0.00000","0","0","0","     0.00000","   0.00000","   0.000000","     0.0","    0.00","0","0","  0.0000","0.000000e+00","0.000000","0","0","0","     0.00","0","   0.000","     0.00000","0","0","       0.000","0.000000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","0.000000","0","0","0","   0.00000","      0","    0.00","    0.000","0","0","   0.0000","0.000000","0","      0","0","0","   0.000","   0.000","    0.000","0","     0.00000","  0.00000","0","  0.0000"," 0.00000","0.000000"
"Norway"," 0.0000","      0.000","0","    0.00","     0.0","0","    0.000","0","   0.0000","   0.000","0.000000e+00","    0.0000","0","0","    0.000","   0.000","   0.00000","   0.00000","   0.000000","    0.00000","   0.0000","     0.00000","    0.00","  0.000","0.000000e+00","0","   0.000000","    0.00","   0.000"," 0.00000","0","   0.000","0","0"," 0.00000","     0.00000","0","0.000000","    0.00000","   0.000","   0.0000000","  0.0000","0.000000","0"," 0.00000","  0.00000","0","0","0","     0.00000","    0.00","  0.0000","0","0","0","0.000000","0","0","   0.00000","0","0","  0.0000","0","  0.0000","   0.00000","0","0","0","     0.00000","   0.00000","   0.000000","     0.0","    0.00","0","0","  0.0000","0.000000e+00","0.000000","0","0","0","     0.00","0","   0.000","     0.00000","0","0","       0.000","0.000000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","0.000000","0","0","0","   0.00000","      0","    0.00","    0.000","0","0","   0.0000","0.000000","0","      0","0","0","   0.000","   0.000","    0.000","0","     0.00000","  0.00000","0","  0.0000"," 0.00000","0.000000"
"Niger"," 0.0000","      0.000","0","    0.00","     0.0","0","    0.000","0","   0.0000","   0.000","0.000000e+00","    0.0000","0","0","    0.000","   0.000","   0.00000","   0.00000","   0.000000","    0.00000","   0.0000","     0.00000","    0.00","  0.000","0.000000e+00","0","   0.000000","    0.00","   0.000"," 0.00000","0","   0.000","0","0"," 0.00000","     0.00000","0","0.000000","    0.00000","   0.000","   0.0000000","  0.0000","0.000000","0"," 0.00000","  0.00000","0","0","0","     0.00000","    0.00","  0.0000","0","0","0","0.000000","0","0","   0.00000","0","0","  0.0000","0","  0.0000","   0.00000","0","0","0","     0.00000","   0.00000","   0.000000","     0.0","    0.00","0","0","  0.0000","0.000000e+00","0.000000","0","0","0","     0.00","0","   0.000","     0.00000","0","0","       0.000","0.000000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","0.000000","0","0","0","   0.00000","      0","    0.00","    0.000","0","0","   0.0000","0.000000","0","      0","0","0","   0.000","   0.000","    0.000","0","     0.00000","  0.00000","0","  0.0000"," 0.00000","0.000000"
"Nicaragua"," 0.0000","      0.000","0","    0.00","     0.0","0","    0.000","0","   0.0000","   0.000","0.000000e+00","    0.0000","0","0","    0.000","   0.000","   0.00000","   0.00000","   0.000000","    0.00000","   0.0000","     0.00000","    0.00","  0.000","0.000000e+00","0","   0.000000","    0.00","   0.000"," 0.00000","0","   0.000","0","0"," 0.00000","     0.00000","0","0.000000","    0.00000","   0.000","   0.0000000","  0.0000","0.000000","0"," 0.00000","  0.00000","0","0","0","     0.00000","    0.00","  0.0000","0","0","0","0.000000","0","0","   0.00000","0","0","  0.0000","0","  0.0000","   0.00000","0","0","0","     0.00000","   0.00000","   0.000000","     0.0","    0.00","0","0","  0.0000","0.000000e+00","0.000000","0","0","0","     0.00","0","   0.000","     0.00000","0","0","       0.000","0.000000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","0.000000","0","0","0","   0.00000","      0","    0.00","    0.000","0","0","   0.0000","0.000000","0","      0","0","0","   0.000","   0.000","    0.000","0","     0.00000","  0.00000","0","  0.0000"," 0.00000","0.000000"
"New Zealand"," 0.0000","      0.000","0","    0.00","     0.0","0","    0.000","0","   0.0000","   0.000","0.000000e+00","    0.0000","0","0","    0.000","   0.000","   0.00000","   0.00000","   0.000000","    0.00000","   0.0000","     0.00000","    0.00","  0.000","0.000000e+00","0","   0.000000","    0.00","   0.000"," 0.00000","0","   0.000","0","0"," 0.00000","     0.00000","0","0.000000","    0.00000","   0.000","   0.0000000","  0.0000","0.000000","0"," 0.00000","  0.00000","0","0","0","     0.00000","    0.00","  0.0000","0","0","0","0.000000","0","0","   0.00000","0","0","  0.0000","0","  0.0000","   0.00000","0","0","0","     0.00000","   0.00000","   0.000000","     0.0","    0.00","0","0","  0.0000","0.000000e+00","0.000000","0","0","0","     0.00","0","   0.000","     0.00000","0","0","       0.000","0.000000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","0.000000","0","0","0","   0.00000","      0","    0.00","    0.000","0","0","   0.0000","0.000000","0","      0","0","0","   0.000","   0.000","    0.000","0","     0.00000","  0.00000","0","  0.0000"," 0.00000","0.000000"
