"","Trinidad and Tobago","Thailand","United Republic of Tanzania","China, Taiwan Province of","Turkmenistan","Syrian Arab Republic","Switzerland","Sweden","Eswatini","Suriname","Sudan (former)","Spain","South Africa","Singapore","Slovakia","Slovenia","Saudi Arabia","Russian Federation","Romania","Zimbabwe","Qatar","Guinea-Bissau","Portugal","Poland","Philippines","Peru","Paraguay","Papua New Guinea","Czechia","Panama","Norway","Nicaragua","New Zealand","The former Yugoslav Republic of Macedonia","New Caledonia","Netherlands Antilles (former)","Netherlands","Nepal","Republic of Moldova","Mozambique","Morocco","Mongolia","Mexico","Mauritius","Mauritania","Malta","Maldives","Malaysia","Malawi","Madagascar","China, Macao SAR","Lithuania","Libya","Lebanon","Latvia","Kuwait","Republic of Korea","Democratic People's Republic of Korea","Cambodia","Kenya","Kyrgyzstan","Jordan","Japan","Jamaica","Kazakhstan","Côte d'Ivoire","Italy","Israel","Ireland","Iraq","Iran (Islamic Republic of)","Indonesia","India","Iceland","Croatia","Hungary","China, Hong Kong SAR","Honduras","Guatemala","Guam","Greece","Ghana","Bosnia and Herzegovina","Germany","Gabon","French Polynesia","France","Finland","Fiji","Faroe Islands","Estonia","El Salvador","Egypt","Ecuador","Dominican Republic","Denmark","Azerbaijan","Cyprus","Cuba","Costa Rica","Congo","Colombia","China, mainland","Chile","Sri Lanka","Cayman Islands","Cabo Verde","Canada","Cameroon","Myanmar","Bulgaria","Brunei Darussalam","Aruba","Brazil","Bolivia (Plurinational State of)","Bermuda","Bangladesh","Barbados","Austria","Australia","Argentina","Angola","Algeria","Afghanistan"
"Spain"," 0.00000","    0.000000"," 0.00000","    0.0000","0","     0.00","    0.000","14057.395143","0","0","0","    0.000"," 0.0000000","   0.00000","    0.00000"," 0.0000000","  0.0000000"," 0.00000","     0.00000","0","  0.0000","0","6.140270e+07","0","   0.000","    0.00","   0.000","0","  0.0000","0"," 0.00000","0"," 0.00000","0","0","0.000000","   0.00000","   0.000","  0.0000","  0.0000","   0.00000","0","0"," 0.00000","0","0","0","     0.0000","0","0","0","0.0000000","0","0.000000","    0.00"," 0.00000"," 0.00000","0","0","0","0","0.000000","  0.00000","0","0","0.0000000"," 84344.37086","0","   0.0000","0","     0.0","     0.0000","0","0","0.0000000","0.000000e+00","0.000000","0","0","0","0.000000e+00"," 0.00000","   0.0000","7.028698e+03","0","0","1194878.587","   0.000000"," 0.00000","0","  0.0000","0","0.000000e+00","0","0","0.000000e+00","0","   0.000","0","0","0","     0.0","0.000000e+00","    0","   0.000","0","0","    0.0000","0","0","     0.0","0","0","  0.0000","   0.000","0","  0.0000","0","     0.00000"," 0.00000","0","0","0","0"
"South Africa"," 0.00000","    0.000000","11.87102","  261.1625","0","     0.00","    0.000","    0.000000","0","0","0","    0.000"," 0.0000000","2362.33392","    0.00000"," 0.0000000","  0.0000000"," 0.00000","     0.00000","0","  0.0000","0","0.000000e+00","0","   0.000","    0.00","   0.000","0","  0.0000","0"," 0.00000","0"," 0.00000","0","0","0.000000","   0.00000","   0.000","  0.0000","724.1325","   0.00000","0","0"," 0.00000","0","0","0","783511.3746","0","0","0","0.0000000","0","0.000000","    0.00"," 0.00000"," 0.00000","0","0","0","0","0.000000","  0.00000","0","0","0.0000000","     0.00000","0","   0.0000","0","     0.0","636393.7650","0","0","0.0000000","0.000000e+00","0.000000","0","0","0","0.000000e+00","11.87102","   0.0000","0.000000e+00","0","0","      0.000","   0.000000"," 0.00000","0","  0.0000","0","0.000000e+00","0","0","0.000000e+00","0","   0.000","0","0","0","     0.0","2.730336e+04","    0","6695.258","0","0","    0.0000","0","0","     0.0","0","0","  0.0000","   0.000","0","  0.0000","0","     0.00000"," 0.00000","0","0","0","0"
"Singapore"," 0.00000","    0.000000"," 0.00000","    0.0000","0","     0.00","    0.000","    0.000000","0","0","0","    0.000"," 0.0000000","   0.00000","    0.00000"," 0.0000000","  0.0000000"," 0.00000","     0.00000","0","  0.0000","0","0.000000e+00","0","   0.000","    0.00","   0.000","0","  0.0000","0"," 0.00000","0"," 0.00000","0","0","0.000000","   0.00000","   0.000","  0.0000","  0.0000","   0.00000","0","0"," 0.00000","0","0","0","     0.0000","0","0","0","0.0000000","0","0.000000","    0.00"," 0.00000"," 0.00000","0","0","0","0","0.000000","  0.00000","0","0","0.0000000","     0.00000","0","   0.0000","0","     0.0","     0.0000","0","0","0.0000000","0.000000e+00","0.000000","0","0","0","0.000000e+00"," 0.00000","   0.0000","0.000000e+00","0","0","      0.000","   0.000000"," 0.00000","0","  0.0000","0","0.000000e+00","0","0","0.000000e+00","0","   0.000","0","0","0","     0.0","0.000000e+00","    0","   0.000","0","0","    0.0000","0","0","     0.0","0","0","  0.0000","   0.000","0","  0.0000","0","     0.00000"," 0.00000","0","0","0","0"
"Slovakia"," 0.00000","    0.000000"," 0.00000","    0.0000","0","     0.00","    0.000","    0.000000","0","0","0","    0.000"," 0.0000000","   0.00000","    0.00000"," 0.0000000","  0.0000000"," 0.00000","     0.00000","0","  0.0000","0","0.000000e+00","0","   0.000","    0.00","   0.000","0","  0.0000","0"," 0.00000","0"," 0.00000","0","0","0.000000","   0.00000","   0.000","  0.0000","  0.0000","   0.00000","0","0"," 0.00000","0","0","0","     0.0000","0","0","0","0.0000000","0","0.000000","    0.00"," 0.00000"," 0.00000","0","0","0","0","0.000000","  0.00000","0","0","0.0000000","     0.00000","0","   0.0000","0","     0.0","     0.0000","0","0","0.0000000","0.000000e+00","0.000000","0","0","0","0.000000e+00"," 0.00000","   0.0000","0.000000e+00","0","0","      0.000","   0.000000"," 0.00000","0","  0.0000","0","0.000000e+00","0","0","0.000000e+00","0","   0.000","0","0","0","     0.0","0.000000e+00","    0","   0.000","0","0","    0.0000","0","0","     0.0","0","0","  0.0000","   0.000","0","  0.0000","0","     0.00000"," 0.00000","0","0","0","0"
"Slovenia"," 0.00000","    0.000000"," 0.00000","    0.0000","0","     0.00","    0.000","    0.000000","0","0","0","    0.000"," 0.0000000","   0.00000","    0.00000"," 0.0000000","  0.0000000"," 0.00000","     0.00000","0","  0.0000","0","0.000000e+00","0","   0.000","    0.00","   0.000","0","  0.0000","0"," 0.00000","0"," 0.00000","0","0","0.000000","   0.00000","   0.000","  0.0000","  0.0000","   0.00000","0","0"," 0.00000","0","0","0","     0.0000","0","0","0","0.0000000","0","0.000000","    0.00"," 0.00000"," 0.00000","0","0","0","0","0.000000","  0.00000","0","0","0.0000000","     0.00000","0","   0.0000","0","     0.0","     0.0000","0","0","0.0000000","0.000000e+00","0.000000","0","0","0","0.000000e+00"," 0.00000","   0.0000","0.000000e+00","0","0","      0.000","   0.000000"," 0.00000","0","  0.0000","0","0.000000e+00","0","0","0.000000e+00","0","   0.000","0","0","0","     0.0","0.000000e+00","    0","   0.000","0","0","    0.0000","0","0","     0.0","0","0","  0.0000","   0.000","0","  0.0000","0","     0.00000"," 0.00000","0","0","0","0"
"Saudi Arabia"," 0.00000","    0.000000"," 0.00000","    0.0000","0","     0.00","    0.000","    0.000000","0","0","0","    0.000"," 0.0000000","   0.00000","    0.00000"," 0.0000000","  0.0000000"," 0.00000","     0.00000","0","  0.0000","0","0.000000e+00","0","   0.000","    0.00","   0.000","0","  0.0000","0"," 0.00000","0"," 0.00000","0","0","0.000000","   0.00000","   0.000","  0.0000","  0.0000","   0.00000","0","0"," 0.00000","0","0","0","     0.0000","0","0","0","0.0000000","0","0.000000","    0.00"," 0.00000"," 0.00000","0","0","0","0","0.000000","  0.00000","0","0","0.0000000","     0.00000","0","   0.0000","0","     0.0","     0.0000","0","0","0.0000000","0.000000e+00","0.000000","0","0","0","0.000000e+00"," 0.00000","   0.0000","0.000000e+00","0","0","      0.000","   0.000000"," 0.00000","0","  0.0000","0","0.000000e+00","0","0","0.000000e+00","0","   0.000","0","0","0","     0.0","0.000000e+00","    0","   0.000","0","0","    0.0000","0","0","     0.0","0","0","  0.0000","   0.000","0","  0.0000","0","     0.00000"," 0.00000","0","0","0","0"
"Russian Federation"," 0.00000","    0.000000"," 0.00000","    0.0000","0","     0.00","    0.000","    0.000000","0","0","0","    0.000"," 0.0000000","   0.00000","    0.00000"," 0.0000000","  0.0000000"," 0.00000","     0.00000","0","  0.0000","0","0.000000e+00","0","   0.000","    0.00","   0.000","0","  0.0000","0"," 0.00000","0"," 0.00000","0","0","0.000000","   0.00000","   0.000","  0.0000","  0.0000","   0.00000","0","0"," 0.00000","0","0","0","     0.0000","0","0","0","0.0000000","0","0.000000","    0.00"," 0.00000"," 0.00000","0","0","0","0","0.000000","  0.00000","0","0","0.0000000","     0.00000","0","   0.0000","0","     0.0","     0.0000","0","0","0.0000000","0.000000e+00","0.000000","0","0","0","0.000000e+00"," 0.00000","   0.0000","0.000000e+00","0","0","      0.000","   0.000000"," 0.00000","0","  0.0000","0","0.000000e+00","0","0","0.000000e+00","0","   0.000","0","0","0","     0.0","0.000000e+00","    0","   0.000","0","0","    0.0000","0","0","     0.0","0","0","  0.0000","   0.000","0","  0.0000","0","     0.00000"," 0.00000","0","0","0","0"
"Romania"," 0.00000","    0.000000"," 0.00000","    0.0000","0","218213.49","19053.855","    0.000000","0","0","0","    0.000"," 0.0000000","   0.00000","10432.76644"," 0.0000000","  0.0000000"," 0.00000","     0.00000","0","  0.0000","0","0.000000e+00","0","   0.000","    0.00","   0.000","0","  0.0000","0"," 0.00000","0"," 0.00000","0","0","0.000000","   0.00000","   0.000","124.9433","  0.0000","   0.00000","0","0"," 0.00000","0","0","0","     0.0000","0","0","0","0.0000000","0","0.000000","    0.00"," 0.00000"," 0.00000","0","0","0","0","0.000000","  0.00000","0","0","0.0000000","548626.07710","0","1436.8481","0","     0.0","     0.0000","0","0","0.0000000","1.068890e+05","0.000000","0","0","0","0.000000e+00"," 0.00000","   0.0000","2.555091e+05","0","0","      0.000","   0.000000"," 0.00000","0","  0.0000","0","0.000000e+00","0","0","0.000000e+00","0","1249.433","0","0","0","     0.0","0.000000e+00","    0","   0.000","0","0","    0.0000","0","0","637148.4","0","0","  0.0000","   0.000","0","  0.0000","0","232394.55782"," 0.00000","0","0","0","0"
"Zimbabwe"," 0.00000","    0.000000"," 0.00000","    0.0000","0","     0.00","    0.000","    0.000000","0","0","0","    0.000"," 0.0000000","   0.00000","    0.00000"," 0.0000000","  0.0000000"," 0.00000","     0.00000","0","  0.0000","0","0.000000e+00","0","   0.000","    0.00","   0.000","0","  0.0000","0"," 0.00000","0"," 0.00000","0","0","0.000000","   0.00000","   0.000","  0.0000","  0.0000","   0.00000","0","0"," 0.00000","0","0","0","     0.0000","0","0","0","0.0000000","0","0.000000","    0.00"," 0.00000"," 0.00000","0","0","0","0","0.000000","  0.00000","0","0","0.0000000","     0.00000","0","   0.0000","0","     0.0","     0.0000","0","0","0.0000000","0.000000e+00","0.000000","0","0","0","0.000000e+00"," 0.00000","   0.0000","0.000000e+00","0","0","      0.000","   0.000000"," 0.00000","0","  0.0000","0","0.000000e+00","0","0","0.000000e+00","0","   0.000","0","0","0","     0.0","0.000000e+00","    0","   0.000","0","0","    0.0000","0","0","     0.0","0","0","  0.0000","   0.000","0","  0.0000","0","     0.00000"," 0.00000","0","0","0","0"
"Qatar"," 0.00000","    0.000000"," 0.00000","    0.0000","0","     0.00","    0.000","    0.000000","0","0","0","    0.000"," 0.0000000","   0.00000","    0.00000"," 0.0000000","  0.0000000"," 0.00000","     0.00000","0","  0.0000","0","0.000000e+00","0","   0.000","    0.00","   0.000","0","  0.0000","0"," 0.00000","0"," 0.00000","0","0","0.000000","   0.00000","   0.000","  0.0000","  0.0000","   0.00000","0","0"," 0.00000","0","0","0","     0.0000","0","0","0","0.0000000","0","0.000000","    0.00"," 0.00000"," 0.00000","0","0","0","0","0.000000","  0.00000","0","0","0.0000000","     0.00000","0","   0.0000","0","     0.0","     0.0000","0","0","0.0000000","0.000000e+00","0.000000","0","0","0","0.000000e+00"," 0.00000","   0.0000","0.000000e+00","0","0","      0.000","   0.000000"," 0.00000","0","  0.0000","0","0.000000e+00","0","0","0.000000e+00","0","   0.000","0","0","0","     0.0","0.000000e+00","    0","   0.000","0","0","    0.0000","0","0","     0.0","0","0","  0.0000","   0.000","0","  0.0000","0","     0.00000"," 0.00000","0","0","0","0"
"Guinea-Bissau"," 0.00000","    0.000000"," 0.00000","    0.0000","0","     0.00","    0.000","    0.000000","0","0","0","    0.000"," 0.0000000","   0.00000","    0.00000"," 0.0000000","  0.0000000"," 0.00000","     0.00000","0","  0.0000","0","0.000000e+00","0","   0.000","    0.00","   0.000","0","  0.0000","0"," 0.00000","0"," 0.00000","0","0","0.000000","   0.00000","   0.000","  0.0000","  0.0000","   0.00000","0","0"," 0.00000","0","0","0","     0.0000","0","0","0","0.0000000","0","0.000000","    0.00"," 0.00000"," 0.00000","0","0","0","0","0.000000","  0.00000","0","0","0.0000000","     0.00000","0","   0.0000","0","     0.0","     0.0000","0","0","0.0000000","0.000000e+00","0.000000","0","0","0","0.000000e+00"," 0.00000","   0.0000","0.000000e+00","0","0","      0.000","   0.000000"," 0.00000","0","  0.0000","0","0.000000e+00","0","0","0.000000e+00","0","   0.000","0","0","0","     0.0","0.000000e+00","    0","   0.000","0","0","    0.0000","0","0","     0.0","0","0","  0.0000","   0.000","0","  0.0000","0","     0.00000"," 0.00000","0","0","0","0"
"Portugal"," 0.00000","    0.000000"," 0.00000","    0.0000","0","     0.00","    0.000","    0.000000","0","0","0","    0.000"," 0.0000000","   0.00000","    0.00000"," 0.0000000","  0.0000000"," 0.00000","     0.00000","0","  0.0000","0","0.000000e+00","0","   0.000","    0.00","   0.000","0","  0.0000","0"," 0.00000","0"," 0.00000","0","0","0.000000","   0.00000","   0.000","  0.0000","  0.0000","   0.00000","0","0"," 0.00000","0","0","0","     0.0000","0","0","0","0.0000000","0","0.000000","    0.00"," 0.00000"," 0.00000","0","0","0","0","0.000000","  0.00000","0","0","0.0000000","     0.00000","0","   0.0000","0","     0.0","     0.0000","0","0","0.0000000","0.000000e+00","0.000000","0","0","0","0.000000e+00"," 0.00000","   0.0000","0.000000e+00","0","0","      0.000","   0.000000"," 0.00000","0","  0.0000","0","0.000000e+00","0","0","0.000000e+00","0","   0.000","0","0","0","     0.0","0.000000e+00","    0","   0.000","0","0","    0.0000","0","0","     0.0","0","0","  0.0000","   0.000","0","  0.0000","0","     0.00000"," 0.00000","0","0","0","0"
"Poland"," 0.00000","    0.000000"," 0.00000","    0.0000","0","     0.00","    0.000","    0.000000","0","0","0","    0.000"," 0.0000000","   0.00000","    0.00000"," 0.0000000","  0.0000000"," 0.00000","     0.00000","0","  0.0000","0","0.000000e+00","0","   0.000","    0.00","   0.000","0","  0.0000","0"," 0.00000","0"," 0.00000","0","0","0.000000","   0.00000","   0.000","  0.0000","  0.0000","   0.00000","0","0"," 0.00000","0","0","0","     0.0000","0","0","0","0.0000000","0","0.000000","    0.00"," 0.00000"," 0.00000","0","0","0","0","0.000000","  0.00000","0","0","0.0000000","     0.00000","0","   0.0000","0","     0.0","     0.0000","0","0","0.0000000","0.000000e+00","0.000000","0","0","0","0.000000e+00"," 0.00000","   0.0000","0.000000e+00","0","0","      0.000","   0.000000"," 0.00000","0","  0.0000","0","0.000000e+00","0","0","0.000000e+00","0","   0.000","0","0","0","     0.0","0.000000e+00","    0","   0.000","0","0","    0.0000","0","0","     0.0","0","0","  0.0000","   0.000","0","  0.0000","0","     0.00000"," 0.00000","0","0","0","0"
"Philippines"," 0.00000","    0.000000"," 0.00000","    0.0000","0","     0.00","    0.000","    0.000000","0","0","0","    0.000"," 0.0000000","   0.00000","    0.00000"," 0.0000000","  0.0000000"," 0.00000","     0.00000","0","  0.0000","0","0.000000e+00","0","   0.000","    0.00","   0.000","0","  0.0000","0"," 0.00000","0"," 0.00000","0","0","0.000000","   0.00000","   0.000","  0.0000","  0.0000","   0.00000","0","0"," 0.00000","0","0","0","     0.0000","0","0","0","0.0000000","0","0.000000","    0.00"," 0.00000"," 0.00000","0","0","0","0","0.000000","  0.00000","0","0","0.0000000","     0.00000","0","   0.0000","0","     0.0","     0.0000","0","0","0.0000000","0.000000e+00","0.000000","0","0","0","0.000000e+00"," 0.00000","   0.0000","0.000000e+00","0","0","      0.000","   0.000000"," 0.00000","0","  0.0000","0","0.000000e+00","0","0","0.000000e+00","0","   0.000","0","0","0","     0.0","0.000000e+00","    0","   0.000","0","0","    0.0000","0","0","     0.0","0","0","  0.0000","   0.000","0","  0.0000","0","     0.00000"," 0.00000","0","0","0","0"
"Peru"," 0.00000","    0.000000"," 0.00000","    0.0000","0","     0.00","    0.000","    0.000000","0","0","0","    0.000"," 0.0000000","   0.00000","    0.00000"," 0.0000000","  0.0000000"," 0.00000","     0.00000","0","  0.0000","0","0.000000e+00","0","   0.000","    0.00","   0.000","0","  0.0000","0"," 0.00000","0"," 0.00000","0","0","0.000000","   0.00000","   0.000","  0.0000","  0.0000","   0.00000","0","0"," 0.00000","0","0","0","     0.0000","0","0","0","0.0000000","0","0.000000","    0.00"," 0.00000"," 0.00000","0","0","0","0","0.000000","  0.00000","0","0","0.0000000","     0.00000","0","   0.0000","0","     0.0","     0.0000","0","0","0.0000000","0.000000e+00","0.000000","0","0","0","0.000000e+00"," 0.00000","   0.0000","0.000000e+00","0","0","      0.000","   0.000000"," 0.00000","0","  0.0000","0","0.000000e+00","0","0","0.000000e+00","0","   0.000","0","0","0","     0.0","0.000000e+00","    0","   0.000","0","0","    0.0000","0","0","     0.0","0","0","  0.0000","   0.000","0","  0.0000","0","     0.00000"," 0.00000","0","0","0","0"
"Paraguay"," 0.00000","    0.000000"," 0.00000","    0.0000","0","     0.00","    0.000","    0.000000","0","0","0","    0.000"," 0.0000000","   0.00000","    0.00000"," 0.0000000","  0.0000000"," 0.00000","     0.00000","0","  0.0000","0","0.000000e+00","0","   0.000","    0.00","   0.000","0","  0.0000","0"," 0.00000","0"," 0.00000","0","0","0.000000","   0.00000","   0.000","  0.0000","  0.0000","   0.00000","0","0"," 0.00000","0","0","0","     0.0000","0","0","0","0.0000000","0","0.000000","    0.00"," 0.00000"," 0.00000","0","0","0","0","0.000000","  0.00000","0","0","0.0000000","     0.00000","0","   0.0000","0","     0.0","     0.0000","0","0","0.0000000","0.000000e+00","0.000000","0","0","0","0.000000e+00"," 0.00000","   0.0000","0.000000e+00","0","0","      0.000","   0.000000"," 0.00000","0","  0.0000","0","0.000000e+00","0","0","0.000000e+00","0","   0.000","0","0","0","     0.0","0.000000e+00","    0","   0.000","0","0","    0.0000","0","0","     0.0","0","0","  0.0000","   0.000","0","  0.0000","0","     0.00000"," 0.00000","0","0","0","0"
"Papua New Guinea"," 0.00000","    0.000000"," 0.00000","    0.0000","0","     0.00","    0.000","    0.000000","0","0","0","    0.000"," 0.0000000","   0.00000","    0.00000"," 0.0000000","  0.0000000"," 0.00000","     0.00000","0","  0.0000","0","0.000000e+00","0","   0.000","    0.00","   0.000","0","  0.0000","0"," 0.00000","0"," 0.00000","0","0","0.000000","   0.00000","   0.000","  0.0000","  0.0000","   0.00000","0","0"," 0.00000","0","0","0","     0.0000","0","0","0","0.0000000","0","0.000000","    0.00"," 0.00000"," 0.00000","0","0","0","0","0.000000","  0.00000","0","0","0.0000000","     0.00000","0","   0.0000","0","     0.0","     0.0000","0","0","0.0000000","0.000000e+00","0.000000","0","0","0","0.000000e+00"," 0.00000","   0.0000","0.000000e+00","0","0","      0.000","   0.000000"," 0.00000","0","  0.0000","0","0.000000e+00","0","0","0.000000e+00","0","   0.000","0","0","0","     0.0","0.000000e+00","    0","   0.000","0","0","    0.0000","0","0","     0.0","0","0","  0.0000","   0.000","0","  0.0000","0","     0.00000"," 0.00000","0","0","0","0"
"Czechia"," 0.00000","    0.000000"," 0.00000","    0.0000","0","     0.00","    0.000","    0.000000","0","0","0","    0.000"," 0.0000000","   0.00000","    0.00000"," 0.0000000","  0.0000000"," 0.00000","     0.00000","0","  0.0000","0","0.000000e+00","0","   0.000","    0.00","   0.000","0","  0.0000","0"," 0.00000","0"," 0.00000","0","0","0.000000","   0.00000","   0.000","  0.0000","  0.0000","   0.00000","0","0"," 0.00000","0","0","0","     0.0000","0","0","0","0.0000000","0","0.000000","    0.00"," 0.00000"," 0.00000","0","0","0","0","0.000000","  0.00000","0","0","0.0000000","     0.00000","0","   0.0000","0","     0.0","     0.0000","0","0","0.0000000","0.000000e+00","0.000000","0","0","0","0.000000e+00"," 0.00000","   0.0000","0.000000e+00","0","0","      0.000","   0.000000"," 0.00000","0","  0.0000","0","0.000000e+00","0","0","0.000000e+00","0","   0.000","0","0","0","     0.0","0.000000e+00","    0","   0.000","0","0","    0.0000","0","0","     0.0","0","0","  0.0000","   0.000","0","  0.0000","0","     0.00000"," 0.00000","0","0","0","0"
"Panama"," 0.00000","    0.000000"," 0.00000","    0.0000","0","     0.00","    0.000","    0.000000","0","0","0","    0.000"," 0.0000000","   0.00000","    0.00000"," 0.0000000","  0.0000000"," 0.00000","     0.00000","0","  0.0000","0","0.000000e+00","0","   0.000","    0.00","   0.000","0","  0.0000","0"," 0.00000","0"," 0.00000","0","0","0.000000","   0.00000","   0.000","  0.0000","  0.0000","   0.00000","0","0"," 0.00000","0","0","0","     0.0000","0","0","0","0.0000000","0","0.000000","    0.00"," 0.00000"," 0.00000","0","0","0","0","0.000000","  0.00000","0","0","0.0000000","     0.00000","0","   0.0000","0","     0.0","     0.0000","0","0","0.0000000","0.000000e+00","0.000000","0","0","0","0.000000e+00"," 0.00000","   0.0000","0.000000e+00","0","0","      0.000","   0.000000"," 0.00000","0","  0.0000","0","0.000000e+00","0","0","0.000000e+00","0","   0.000","0","0","0","     0.0","0.000000e+00","    0","   0.000","0","0","    0.0000","0","0","     0.0","0","0","  0.0000","   0.000","0","  0.0000","0","     0.00000"," 0.00000","0","0","0","0"
"Norway"," 0.00000","    0.000000"," 0.00000","    0.0000","0","     0.00","    0.000","    0.000000","0","0","0","    0.000"," 0.0000000","   0.00000","    0.00000"," 0.0000000","  0.0000000"," 0.00000","     0.00000","0","  0.0000","0","0.000000e+00","0","   0.000","    0.00","   0.000","0","  0.0000","0"," 0.00000","0"," 0.00000","0","0","0.000000","   0.00000","   0.000","  0.0000","  0.0000","   0.00000","0","0"," 0.00000","0","0","0","     0.0000","0","0","0","0.0000000","0","0.000000","    0.00"," 0.00000"," 0.00000","0","0","0","0","0.000000","  0.00000","0","0","0.0000000","     0.00000","0","   0.0000","0","     0.0","     0.0000","0","0","0.0000000","0.000000e+00","0.000000","0","0","0","0.000000e+00"," 0.00000","   0.0000","0.000000e+00","0","0","      0.000","   0.000000"," 0.00000","0","  0.0000","0","0.000000e+00","0","0","0.000000e+00","0","   0.000","0","0","0","     0.0","0.000000e+00","    0","   0.000","0","0","    0.0000","0","0","     0.0","0","0","  0.0000","   0.000","0","  0.0000","0","     0.00000"," 0.00000","0","0","0","0"
"Nicaragua"," 0.00000","    0.000000"," 0.00000","    0.0000","0","     0.00","    0.000","    0.000000","0","0","0","    0.000"," 0.0000000","   0.00000","    0.00000"," 0.0000000","  0.0000000"," 0.00000","     0.00000","0","  0.0000","0","0.000000e+00","0","   0.000","    0.00","   0.000","0","  0.0000","0"," 0.00000","0"," 0.00000","0","0","0.000000","   0.00000","   0.000","  0.0000","  0.0000","   0.00000","0","0"," 0.00000","0","0","0","     0.0000","0","0","0","0.0000000","0","0.000000","    0.00"," 0.00000"," 0.00000","0","0","0","0","0.000000","  0.00000","0","0","0.0000000","     0.00000","0","   0.0000","0","     0.0","     0.0000","0","0","0.0000000","0.000000e+00","0.000000","0","0","0","0.000000e+00"," 0.00000","   0.0000","0.000000e+00","0","0","      0.000","   0.000000"," 0.00000","0","  0.0000","0","0.000000e+00","0","0","0.000000e+00","0","   0.000","0","0","0","     0.0","0.000000e+00","    0","   0.000","0","0","    0.0000","0","0","     0.0","0","0","  0.0000","   0.000","0","  0.0000","0","     0.00000"," 0.00000","0","0","0","0"
"New Zealand"," 0.00000","    0.000000"," 0.00000","    0.0000","0","     0.00","    0.000","    0.000000","0","0","0","    0.000"," 0.0000000","   0.00000","    0.00000"," 0.0000000","  0.0000000"," 0.00000","     0.00000","0","  0.0000","0","0.000000e+00","0","   0.000","    0.00","   0.000","0","  0.0000","0"," 0.00000","0"," 0.00000","0","0","0.000000","   0.00000","   0.000","  0.0000","  0.0000","   0.00000","0","0"," 0.00000","0","0","0","     0.0000","0","0","0","0.0000000","0","0.000000","    0.00"," 0.00000"," 0.00000","0","0","0","0","0.000000","  0.00000","0","0","0.0000000","     0.00000","0","   0.0000","0","     0.0","     0.0000","0","0","0.0000000","0.000000e+00","0.000000","0","0","0","0.000000e+00"," 0.00000","   0.0000","0.000000e+00","0","0","      0.000","   0.000000"," 0.00000","0","  0.0000","0","0.000000e+00","0","0","0.000000e+00","0","   0.000","0","0","0","     0.0","0.000000e+00","    0","   0.000","0","0","    0.0000","0","0","     0.0","0","0","  0.0000","   0.000","0","  0.0000","0","     0.00000"," 0.00000","0","0","0","0"
"The former Yugoslav Republic of Macedonia"," 0.00000","    0.000000"," 0.00000","    0.0000","0","     0.00","    0.000","    0.000000","0","0","0","    0.000"," 0.0000000","   0.00000","    0.00000"," 0.0000000","  0.0000000"," 0.00000","     0.00000","0","  0.0000","0","0.000000e+00","0","   0.000","    0.00","   0.000","0","  0.0000","0"," 0.00000","0"," 0.00000","0","0","0.000000","   0.00000","   0.000","  0.0000","  0.0000","   0.00000","0","0"," 0.00000","0","0","0","     0.0000","0","0","0","0.0000000","0","0.000000","    0.00"," 0.00000"," 0.00000","0","0","0","0","0.000000","  0.00000","0","0","0.0000000","     0.00000","0","   0.0000","0","     0.0","     0.0000","0","0","0.0000000","0.000000e+00","0.000000","0","0","0","0.000000e+00"," 0.00000","   0.0000","0.000000e+00","0","0","      0.000","   0.000000"," 0.00000","0","  0.0000","0","0.000000e+00","0","0","0.000000e+00","0","   0.000","0","0","0","     0.0","0.000000e+00","    0","   0.000","0","0","    0.0000","0","0","     0.0","0","0","  0.0000","   0.000","0","  0.0000","0","     0.00000"," 0.00000","0","0","0","0"
"New Caledonia"," 0.00000","    0.000000"," 0.00000","    0.0000","0","     0.00","    0.000","    0.000000","0","0","0","    0.000"," 0.0000000","   0.00000","    0.00000"," 0.0000000","  0.0000000"," 0.00000","     0.00000","0","  0.0000","0","0.000000e+00","0","   0.000","    0.00","   0.000","0","  0.0000","0"," 0.00000","0"," 0.00000","0","0","0.000000","   0.00000","   0.000","  0.0000","  0.0000","   0.00000","0","0"," 0.00000","0","0","0","     0.0000","0","0","0","0.0000000","0","0.000000","    0.00"," 0.00000"," 0.00000","0","0","0","0","0.000000","  0.00000","0","0","0.0000000","     0.00000","0","   0.0000","0","     0.0","     0.0000","0","0","0.0000000","0.000000e+00","0.000000","0","0","0","0.000000e+00"," 0.00000","   0.0000","0.000000e+00","0","0","      0.000","   0.000000"," 0.00000","0","  0.0000","0","0.000000e+00","0","0","0.000000e+00","0","   0.000","0","0","0","     0.0","0.000000e+00","    0","   0.000","0","0","    0.0000","0","0","     0.0","0","0","  0.0000","   0.000","0","  0.0000","0","     0.00000"," 0.00000","0","0","0","0"
