"","Belgium","Unspecified Area","Zambia","Democratic Republic of the Congo","Ethiopia","Viet Nam","Venezuela (Bolivarian Republic of)","Uzbekistan","Uruguay","United States of America","Ukraine","United Kingdom","Uganda","United Arab Emirates","Turkey","Trinidad and Tobago","Thailand","United Republic of Tanzania","China, Taiwan Province of","Turkmenistan","Syrian Arab Republic","Switzerland","Sweden","Eswatini","Suriname","Sudan (former)","Spain","South Africa","Singapore","Slovakia","Slovenia","Saudi Arabia","Serbia and Montenegro","Russian Federation","Romania","Zimbabwe","Qatar","Portugal","Poland","Philippines","Peru","Paraguay","Papua New Guinea","Czechia","Panama","Norway","Nicaragua","New Zealand","The former Yugoslav Republic of Macedonia","New Caledonia","Netherlands Antilles (former)","Netherlands","Nepal","Republic of Moldova","Mozambique","Morocco","Mexico","Mauritius","Mauritania","Malta","Maldives","Malaysia","Malawi","Madagascar","China, Macao SAR","Lithuania","Libya","Lebanon","Lao People's Democratic Republic","Latvia","Kuwait","Republic of Korea","Democratic People's Republic of Korea","Cambodia","Kenya","Kyrgyzstan","Jordan","Japan","Jamaica","Kazakhstan","Côte d'Ivoire","Italy","Israel","Ireland","Iraq","Iran (Islamic Republic of)","Indonesia","India","Iceland","Croatia","Hungary","China, Hong Kong SAR","Honduras","Guatemala","Guam","Greece","Bosnia and Herzegovina","Germany","Gabon","French Polynesia","France","Finland","Fiji","Estonia","El Salvador","Egypt","Ecuador","Denmark","Azerbaijan","Cyprus","Cuba","Costa Rica","Congo","Colombia","China, mainland","Chile","Sri Lanka","Cayman Islands","Canada","Cameroon","Myanmar","Bulgaria","Brunei Darussalam","Belize","Aruba","Brazil","Bolivia (Plurinational State of)","Barbados","Austria","Australia","Argentina","Angola","Algeria","Albania","Afghanistan"
"Sweden","   0.000","0.000000","    0.00","0","0","   0.0","0","0","   0.00","0.000000e+00","0","   0.0000000","0","    0.000000","    0.00000","0","     0.0","0","    0.00","0","    0.00","   0.0000","    0.000000","0","0","    0.00","     0.000","    0.0000","0.000000"," 0.000000","  0.0000","0","  0.0000","0","    0.000000","  0.0000","0","0.000000e+00","  0.0000","    0.00","    0.00","0","0","0.000000","0"," 0.000000","0","0","0.000000e+00","0","0","     0.00000","   0.000","0","   0.000","0","    0.00","0","0","0","0","     0.000","    0.00"," 0.00000","0","0","0","0.000000e+00","0","0","0","0","0","0","   0.000","0","0","    0.000","0","0"," 0.00000","     0.000","    0.00","   0.0000","0","    0.00","    0.00","0","0","0","    0.0","   0.000","0","0","0","    0.000","  0.0000","    0.00000","    0.00","0","0.000000e+00","0.000000","0","0","0","     0","0","    0.000000","0","   0.000","   0.000","0"," 0.00000","0","      0.0000","     0.0","   0.000","0","  0.0000","0","0","0","0","    0.00","0","0","0","0","    0.00000","0","0","   0.000"," 0.00000","    0","0"
"Eswatini","   0.000","0.000000","    0.00","0","0","   0.0","0","0","   0.00","0.000000e+00","0","   0.0000000","0","    0.000000","    0.00000","0","     0.0","0","    0.00","0","    0.00","   0.0000","    0.000000","0","0","    0.00","     0.000","    0.0000","0.000000"," 0.000000","  0.0000","0","  0.0000","0","    0.000000","  0.0000","0","0.000000e+00","  0.0000","    0.00","    0.00","0","0","0.000000","0"," 0.000000","0","0","0.000000e+00","0","0","     0.00000","   0.000","0","   0.000","0","    0.00","0","0","0","0","     0.000","    0.00"," 0.00000","0","0","0","0.000000e+00","0","0","0","0","0","0","   0.000","0","0","    0.000","0","0"," 0.00000","     0.000","    0.00","   0.0000","0","    0.00","    0.00","0","0","0","    0.0","   0.000","0","0","0","    0.000","  0.0000","    0.00000","    0.00","0","0.000000e+00","0.000000","0","0","0","     0","0","    0.000000","0","   0.000","   0.000","0"," 0.00000","0","      0.0000","     0.0","   0.000","0","  0.0000","0","0","0","0","    0.00","0","0","0","0","    0.00000","0","0","   0.000"," 0.00000","    0","0"
"Suriname","   0.000","0.000000","    0.00","0","0","   0.0","0","0","   0.00","0.000000e+00","0","   0.0000000","0","    0.000000","    0.00000","0","     0.0","0","    0.00","0","    0.00","   0.0000","    0.000000","0","0","    0.00","     0.000","    0.0000","0.000000"," 0.000000","  0.0000","0","  0.0000","0","    0.000000","  0.0000","0","0.000000e+00","  0.0000","    0.00","    0.00","0","0","0.000000","0"," 0.000000","0","0","0.000000e+00","0","0","     0.00000","   0.000","0","   0.000","0","    0.00","0","0","0","0","     0.000","    0.00"," 0.00000","0","0","0","0.000000e+00","0","0","0","0","0","0","   0.000","0","0","    0.000","0","0"," 0.00000","     0.000","    0.00","   0.0000","0","    0.00","    0.00","0","0","0","    0.0","   0.000","0","0","0","    0.000","  0.0000","    0.00000","    0.00","0","0.000000e+00","0.000000","0","0","0","     0","0","    0.000000","0","   0.000","   0.000","0"," 0.00000","0","      0.0000","     0.0","   0.000","0","  0.0000","0","0","0","0","    0.00","0","0","0","0","    0.00000","0","0","   0.000"," 0.00000","    0","0"
"Sudan (former)","   0.000","0.000000","    0.00","0","0","   0.0","0","0","   0.00","0.000000e+00","0","   0.0000000","0","    0.000000","    0.00000","0","     0.0","0","    0.00","0","    0.00","   0.0000","    0.000000","0","0","    0.00","     0.000","    0.0000","0.000000"," 0.000000","  0.0000","0","  0.0000","0","    0.000000","  0.0000","0","0.000000e+00","  0.0000","    0.00","    0.00","0","0","0.000000","0"," 0.000000","0","0","0.000000e+00","0","0","     0.00000","   0.000","0","   0.000","0","    0.00","0","0","0","0","     0.000","    0.00"," 0.00000","0","0","0","0.000000e+00","0","0","0","0","0","0","   0.000","0","0","    0.000","0","0"," 0.00000","     0.000","    0.00","   0.0000","0","    0.00","    0.00","0","0","0","    0.0","   0.000","0","0","0","    0.000","  0.0000","    0.00000","    0.00","0","0.000000e+00","0.000000","0","0","0","     0","0","    0.000000","0","   0.000","   0.000","0"," 0.00000","0","      0.0000","     0.0","   0.000","0","  0.0000","0","0","0","0","    0.00","0","0","0","0","    0.00000","0","0","   0.000"," 0.00000","    0","0"
"Spain","   0.000","0.000000","    0.00","0","0","   0.0","0","0","   0.00","0.000000e+00","0","   0.0000000","0","    0.000000","    0.00000","0","     0.0","0","    0.00","0","    0.00","   0.0000","15920.000000","0","0","    0.00"," 15920.000","    0.0000","0.000000"," 0.000000","  0.0000","0","  0.0000","0","    0.000000","  0.0000","0","9.313200e+06","  0.0000","    0.00","    0.00","0","0","0.000000","0"," 0.000000","0","0","0.000000e+00","0","0","     0.00000","   0.000","0","   0.000","0","    0.00","0","0","0","0","     0.000","    0.00"," 0.00000","0","0","0","0.000000e+00","0","0","0","0","0","0","   0.000","0","0","    0.000","0","0"," 0.00000","     0.000","    0.00","   0.0000","0","    0.00","    0.00","0","0","0","    0.0","   0.000","0","0","0","    0.000","  0.0000"," 7960.00000","    0.00","0","5.341160e+07","0.000000","0","0","0","     0","0","    0.000000","0","   0.000","   0.000","0"," 0.00000","0","      0.0000","     0.0","   0.000","0","  0.0000","0","0","0","0","    0.00","0","0","0","0","    0.00000","0","0","   0.000"," 0.00000","    0","0"
"South Africa","   0.000","0.000000","16119.57","0","0","   0.0","0","0","   0.00","9.039013e+01","0","   0.0000000","0","  662.860987","    0.00000","0","     0.0","0","    0.00","0","    0.00","   0.0000","    0.000000","0","0","    0.00","     0.000","    0.0000","0.000000"," 0.000000","  0.0000","0","  0.0000","0","    0.000000","542.3408","0","0.000000e+00","  0.0000","    0.00","    0.00","0","0","0.000000","0"," 0.000000","0","0","0.000000e+00","0","0","     0.00000","   0.000","0","4459.247","0","    0.00","0","0","0","0","     0.000","60922.95","30.13004","0","0","0","0.000000e+00","0","0","0","0","0","0","4519.507","0","0","  662.861","0","0","60.26009","     0.000","    0.00","   0.0000","0","    0.00","    0.00","0","0","0","    0.0","   0.000","0","0","0","    0.000","  0.0000","    0.00000","10846.82","0","0.000000e+00","0.000000","0","0","0","     0","0","    0.000000","0","   0.000","   0.000","0"," 0.00000","0","      0.0000","     0.0","   0.000","0","150.6502","0","0","0","0","    0.00","0","0","0","0","    0.00000","0","0","1627.022"," 0.00000","    0","0"
"Singapore","   0.000","0.000000","    0.00","0","0","   0.0","0","0","   0.00","0.000000e+00","0","   0.0000000","0","    0.000000","    0.00000","0","     0.0","0","    0.00","0","    0.00","   0.0000","    0.000000","0","0","    0.00","     0.000","    0.0000","0.000000"," 0.000000","  0.0000","0","  0.0000","0","    0.000000","  0.0000","0","0.000000e+00","  0.0000","    0.00","    0.00","0","0","0.000000","0"," 0.000000","0","0","0.000000e+00","0","0","     0.00000","   0.000","0","   0.000","0","    0.00","0","0","0","0","     0.000","    0.00"," 0.00000","0","0","0","0.000000e+00","0","0","0","0","0","0","   0.000","0","0","    0.000","0","0"," 0.00000","     0.000","    0.00","   0.0000","0","    0.00","    0.00","0","0","0","    0.0","   0.000","0","0","0","    0.000","  0.0000","    0.00000","    0.00","0","0.000000e+00","0.000000","0","0","0","     0","0","    0.000000","0","   0.000","   0.000","0"," 0.00000","0","      0.0000","     0.0","   0.000","0","  0.0000","0","0","0","0","    0.00","0","0","0","0","    0.00000","0","0","   0.000"," 0.00000","    0","0"
"Slovakia","   0.000","0.000000","    0.00","0","0","   0.0","0","0","   0.00","0.000000e+00","0","   0.0000000","0","    0.000000","    0.00000","0","     0.0","0","    0.00","0","    0.00","   0.0000","    0.000000","0","0","    0.00","     0.000","    0.0000","0.000000"," 0.000000","  0.0000","0","  0.0000","0","    0.000000","  0.0000","0","0.000000e+00","  0.0000","    0.00","    0.00","0","0","0.000000","0"," 0.000000","0","0","0.000000e+00","0","0","     0.00000","   0.000","0","   0.000","0","    0.00","0","0","0","0","     0.000","    0.00"," 0.00000","0","0","0","0.000000e+00","0","0","0","0","0","0","   0.000","0","0","    0.000","0","0"," 0.00000","     0.000","    0.00","   0.0000","0","    0.00","    0.00","0","0","0","    0.0","   0.000","0","0","0","    0.000","  0.0000","    0.00000","    0.00","0","0.000000e+00","0.000000","0","0","0","     0","0","    0.000000","0","   0.000","   0.000","0"," 0.00000","0","      0.0000","     0.0","   0.000","0","  0.0000","0","0","0","0","    0.00","0","0","0","0","    0.00000","0","0","   0.000"," 0.00000","    0","0"
"Slovenia","   0.000","0.000000","    0.00","0","0","   0.0","0","0","   0.00","0.000000e+00","0","   0.0000000","0","    0.000000","    0.00000","0","     0.0","0","    0.00","0","    0.00","   0.0000","    0.000000","0","0","    0.00","     0.000","    0.0000","0.000000"," 0.000000","  0.0000","0","  0.0000","0","    0.000000","  0.0000","0","0.000000e+00","  0.0000","    0.00","    0.00","0","0","0.000000","0"," 0.000000","0","0","0.000000e+00","0","0","     0.00000","   0.000","0","   0.000","0","    0.00","0","0","0","0","     0.000","    0.00"," 0.00000","0","0","0","0.000000e+00","0","0","0","0","0","0","   0.000","0","0","    0.000","0","0"," 0.00000","     0.000","    0.00","   0.0000","0","    0.00","    0.00","0","0","0","    0.0","   0.000","0","0","0","    0.000","  0.0000","    0.00000","    0.00","0","0.000000e+00","0.000000","0","0","0","     0","0","    0.000000","0","   0.000","   0.000","0"," 0.00000","0","      0.0000","     0.0","   0.000","0","  0.0000","0","0","0","0","    0.00","0","0","0","0","    0.00000","0","0","   0.000"," 0.00000","    0","0"
"Saudi Arabia","   0.000","0.000000","    0.00","0","0","   0.0","0","0","   0.00","0.000000e+00","0","   0.0000000","0","    0.000000","    0.00000","0","     0.0","0","    0.00","0","    0.00","   0.0000","    0.000000","0","0","    0.00","     0.000","    0.0000","0.000000"," 0.000000","  0.0000","0","  0.0000","0","    0.000000","  0.0000","0","0.000000e+00","  0.0000","    0.00","    0.00","0","0","0.000000","0"," 0.000000","0","0","0.000000e+00","0","0","     0.00000","   0.000","0","   0.000","0","    0.00","0","0","0","0","     0.000","    0.00"," 0.00000","0","0","0","0.000000e+00","0","0","0","0","0","0","   0.000","0","0","    0.000","0","0"," 0.00000","     0.000","    0.00","   0.0000","0","    0.00","    0.00","0","0","0","    0.0","   0.000","0","0","0","    0.000","  0.0000","    0.00000","    0.00","0","0.000000e+00","0.000000","0","0","0","     0","0","    0.000000","0","   0.000","   0.000","0"," 0.00000","0","      0.0000","     0.0","   0.000","0","  0.0000","0","0","0","0","    0.00","0","0","0","0","    0.00000","0","0","   0.000"," 0.00000","    0","0"
"Serbia and Montenegro","   0.000","0.000000","    0.00","0","0","   0.0","0","0","   0.00","0.000000e+00","0","   0.0000000","0","    0.000000","    0.00000","0","     0.0","0","    0.00","0","    0.00","   0.0000","    0.000000","0","0","    0.00","     0.000","    0.0000","0.000000"," 0.000000","  0.0000","0","  0.0000","0","    0.000000","  0.0000","0","0.000000e+00","  0.0000","    0.00","    0.00","0","0","0.000000","0"," 0.000000","0","0","0.000000e+00","0","0","     0.00000","   0.000","0","   0.000","0","    0.00","0","0","0","0","     0.000","    0.00"," 0.00000","0","0","0","0.000000e+00","0","0","0","0","0","0","   0.000","0","0","    0.000","0","0"," 0.00000","     0.000","    0.00","   0.0000","0","    0.00","    0.00","0","0","0","    0.0","   0.000","0","0","0","    0.000","  0.0000","    0.00000","    0.00","0","0.000000e+00","0.000000","0","0","0","     0","0","    0.000000","0","   0.000","   0.000","0"," 0.00000","0","      0.0000","     0.0","   0.000","0","  0.0000","0","0","0","0","    0.00","0","0","0","0","    0.00000","0","0","   0.000"," 0.00000","    0","0"
"Russian Federation","   0.000","0.000000","    0.00","0","0","   0.0","0","0","   0.00","0.000000e+00","0","   0.0000000","0","    0.000000","    0.00000","0","     0.0","0","    0.00","0","    0.00","   0.0000","    0.000000","0","0","    0.00","     0.000","    0.0000","0.000000"," 0.000000","  0.0000","0","  0.0000","0","    0.000000","  0.0000","0","0.000000e+00","  0.0000","    0.00","    0.00","0","0","0.000000","0"," 0.000000","0","0","0.000000e+00","0","0","     0.00000","   0.000","0","   0.000","0","    0.00","0","0","0","0","     0.000","    0.00"," 0.00000","0","0","0","0.000000e+00","0","0","0","0","0","0","   0.000","0","0","    0.000","0","0"," 0.00000","     0.000","    0.00","   0.0000","0","    0.00","    0.00","0","0","0","    0.0","   0.000","0","0","0","    0.000","  0.0000","    0.00000","    0.00","0","0.000000e+00","0.000000","0","0","0","     0","0","    0.000000","0","   0.000","   0.000","0"," 0.00000","0","      0.0000","     0.0","   0.000","0","  0.0000","0","0","0","0","    0.00","0","0","0","0","    0.00000","0","0","   0.000"," 0.00000","    0","0"
"Romania","   0.000","0.000000","    0.00","0","0","   0.0","0","0","   0.00","0.000000e+00","0","   0.0000000","0","    0.000000","    0.00000","0","     0.0","0","    0.00","0","    0.00","   0.0000","    0.000000","0","0","    0.00","     0.000","  128.3749","0.000000"," 0.000000","  0.0000","0","  0.0000","0","    0.000000","  0.0000","0","0.000000e+00","  0.0000","    0.00","    0.00","0","0","0.000000","0"," 0.000000","0","0","0.000000e+00","0","0","     0.00000","   0.000","0","   0.000","0","    0.00","0","0","0","0","     0.000","    0.00"," 0.00000","0","0","0","0.000000e+00","0","0","0","0","0","0","   0.000","0","0","    0.000","0","0"," 0.00000","     0.000","    0.00","   0.0000","0","    0.00","    0.00","0","0","0","49039.2","   0.000","0","0","0","    0.000","  0.0000","    0.00000","    0.00","0","0.000000e+00","0.000000","0","0","0","     0","0","    0.000000","0","   0.000","   0.000","0"," 0.00000","0","      0.0000","     0.0","   0.000","0","  0.0000","0","0","0","0","    0.00","0","0","0","0","    0.00000","0","0","   0.000"," 0.00000","    0","0"
"Zimbabwe","   0.000","0.000000","    0.00","0","0","   0.0","0","0","   0.00","0.000000e+00","0","   0.0000000","0","    0.000000","    0.00000","0","     0.0","0","    0.00","0","    0.00","   0.0000","    0.000000","0","0","    0.00","     0.000","    0.0000","0.000000"," 0.000000","  0.0000","0","  0.0000","0","    0.000000","  0.0000","0","0.000000e+00","  0.0000","    0.00","    0.00","0","0","0.000000","0"," 0.000000","0","0","0.000000e+00","0","0","     0.00000","   0.000","0","   0.000","0","    0.00","0","0","0","0","     0.000","    0.00"," 0.00000","0","0","0","0.000000e+00","0","0","0","0","0","0","   0.000","0","0","    0.000","0","0"," 0.00000","     0.000","    0.00","   0.0000","0","    0.00","    0.00","0","0","0","    0.0","   0.000","0","0","0","    0.000","  0.0000","    0.00000","    0.00","0","0.000000e+00","0.000000","0","0","0","     0","0","    0.000000","0","   0.000","   0.000","0"," 0.00000","0","      0.0000","     0.0","   0.000","0","  0.0000","0","0","0","0","    0.00","0","0","0","0","    0.00000","0","0","   0.000"," 0.00000","    0","0"
"Qatar","   0.000","0.000000","    0.00","0","0","   0.0","0","0","   0.00","0.000000e+00","0","   0.0000000","0","    0.000000","    0.00000","0","     0.0","0","    0.00","0","    0.00","   0.0000","    0.000000","0","0","    0.00","     0.000","    0.0000","0.000000"," 0.000000","  0.0000","0","  0.0000","0","    0.000000","  0.0000","0","0.000000e+00","  0.0000","    0.00","    0.00","0","0","0.000000","0"," 0.000000","0","0","0.000000e+00","0","0","     0.00000","   0.000","0","   0.000","0","    0.00","0","0","0","0","     0.000","    0.00"," 0.00000","0","0","0","0.000000e+00","0","0","0","0","0","0","   0.000","0","0","    0.000","0","0"," 0.00000","     0.000","    0.00","   0.0000","0","    0.00","    0.00","0","0","0","    0.0","   0.000","0","0","0","    0.000","  0.0000","    0.00000","    0.00","0","0.000000e+00","0.000000","0","0","0","     0","0","    0.000000","0","   0.000","   0.000","0"," 0.00000","0","      0.0000","     0.0","   0.000","0","  0.0000","0","0","0","0","    0.00","0","0","0","0","    0.00000","0","0","   0.000"," 0.00000","    0","0"
"Portugal","   0.000","0.000000","    0.00","0","0","   0.0","0","0","   0.00","0.000000e+00","0","   0.0000000","0","    0.000000","    0.00000","0","     0.0","0","    0.00","0","    0.00","   0.0000","    0.000000","0","0","    0.00","     0.000","    0.0000","0.000000"," 0.000000","  0.0000","0","  0.0000","0","    0.000000","  0.0000","0","0.000000e+00","  0.0000","    0.00","    0.00","0","0","0.000000","0"," 0.000000","0","0","0.000000e+00","0","0","     0.00000","   0.000","0","   0.000","0","    0.00","0","0","0","0","     0.000","    0.00"," 0.00000","0","0","0","0.000000e+00","0","0","0","0","0","0","   0.000","0","0","    0.000","0","0"," 0.00000","     0.000","    0.00","   0.0000","0","    0.00","    0.00","0","0","0","    0.0","   0.000","0","0","0","    0.000","  0.0000","    0.00000","    0.00","0","0.000000e+00","0.000000","0","0","0","     0","0","    0.000000","0","   0.000","   0.000","0"," 0.00000","0","      0.0000","     0.0","   0.000","0","  0.0000","0","0","0","0","    0.00","0","0","0","0","    0.00000","0","0","   0.000"," 0.00000","    0","0"
"Poland","   0.000","0.000000","    0.00","0","0","   0.0","0","0","   0.00","0.000000e+00","0","   0.0000000","0","    0.000000","    0.00000","0","     0.0","0","    0.00","0","    0.00","   0.0000","    0.000000","0","0","    0.00","     0.000","    0.0000","0.000000"," 0.000000","  0.0000","0","  0.0000","0","    0.000000","  0.0000","0","0.000000e+00","  0.0000","    0.00","    0.00","0","0","0.000000","0"," 0.000000","0","0","0.000000e+00","0","0","     0.00000","   0.000","0","   0.000","0","    0.00","0","0","0","0","     0.000","    0.00"," 0.00000","0","0","0","0.000000e+00","0","0","0","0","0","0","   0.000","0","0","    0.000","0","0"," 0.00000","     0.000","    0.00","   0.0000","0","    0.00","    0.00","0","0","0","    0.0","   0.000","0","0","0","    0.000","  0.0000","    0.00000","    0.00","0","0.000000e+00","0.000000","0","0","0","     0","0","    0.000000","0","   0.000","   0.000","0"," 0.00000","0","      0.0000","     0.0","   0.000","0","  0.0000","0","0","0","0","    0.00","0","0","0","0","    0.00000","0","0","   0.000"," 0.00000","    0","0"
"Philippines","   0.000","0.000000","    0.00","0","0","   0.0","0","0","   0.00","0.000000e+00","0","   0.0000000","0","    0.000000","    0.00000","0","     0.0","0","    0.00","0","    0.00","   0.0000","    0.000000","0","0","    0.00","     0.000","    0.0000","0.000000"," 0.000000","  0.0000","0","  0.0000","0","    0.000000","  0.0000","0","0.000000e+00","  0.0000","    0.00","    0.00","0","0","0.000000","0"," 0.000000","0","0","0.000000e+00","0","0","     0.00000","   0.000","0","   0.000","0","    0.00","0","0","0","0","     0.000","    0.00"," 0.00000","0","0","0","0.000000e+00","0","0","0","0","0","0","   0.000","0","0","    0.000","0","0"," 0.00000","     0.000","    0.00","   0.0000","0","    0.00","    0.00","0","0","0","    0.0","   0.000","0","0","0","    0.000","  0.0000","    0.00000","    0.00","0","0.000000e+00","0.000000","0","0","0","     0","0","    0.000000","0","   0.000","   0.000","0"," 0.00000","0","      0.0000","     0.0","   0.000","0","  0.0000","0","0","0","0","    0.00","0","0","0","0","    0.00000","0","0","   0.000"," 0.00000","    0","0"
"Peru","   0.000","0.000000","    0.00","0","0","   0.0","0","0","   0.00","0.000000e+00","0","   0.0000000","0","    0.000000","    0.00000","0","     0.0","0","    0.00","0","    0.00","   0.0000","    0.000000","0","0","    0.00","     0.000","    0.0000","0.000000"," 0.000000","  0.0000","0","  0.0000","0","    0.000000","  0.0000","0","0.000000e+00","  0.0000","    0.00","    0.00","0","0","0.000000","0"," 0.000000","0","0","0.000000e+00","0","0","     0.00000","   0.000","0","   0.000","0","    0.00","0","0","0","0","     0.000","    0.00"," 0.00000","0","0","0","0.000000e+00","0","0","0","0","0","0","   0.000","0","0","    0.000","0","0"," 0.00000","     0.000","    0.00","   0.0000","0","    0.00","    0.00","0","0","0","    0.0","   0.000","0","0","0","    0.000","  0.0000","    0.00000","    0.00","0","0.000000e+00","0.000000","0","0","0","     0","0","    0.000000","0","   0.000","   0.000","0"," 0.00000","0","      0.0000","     0.0","   0.000","0","  0.0000","0","0","0","0","    0.00","0","0","0","0","    0.00000","0","0","   0.000"," 0.00000","    0","0"
"Paraguay","   0.000","0.000000","    0.00","0","0","   0.0","0","0","   0.00","0.000000e+00","0","   0.0000000","0","    0.000000","    0.00000","0","     0.0","0","    0.00","0","    0.00","   0.0000","    0.000000","0","0","    0.00","     0.000","    0.0000","0.000000"," 0.000000","  0.0000","0","  0.0000","0","    0.000000","  0.0000","0","0.000000e+00","  0.0000","    0.00","    0.00","0","0","0.000000","0"," 0.000000","0","0","0.000000e+00","0","0","     0.00000","   0.000","0","   0.000","0","    0.00","0","0","0","0","     0.000","    0.00"," 0.00000","0","0","0","0.000000e+00","0","0","0","0","0","0","   0.000","0","0","    0.000","0","0"," 0.00000","     0.000","    0.00","   0.0000","0","    0.00","    0.00","0","0","0","    0.0","   0.000","0","0","0","    0.000","  0.0000","    0.00000","    0.00","0","0.000000e+00","0.000000","0","0","0","     0","0","    0.000000","0","   0.000","   0.000","0"," 0.00000","0","      0.0000","     0.0","   0.000","0","  0.0000","0","0","0","0","    0.00","0","0","0","0","    0.00000","0","0","   0.000"," 0.00000","    0","0"
"Papua New Guinea","   0.000","0.000000","    0.00","0","0","   0.0","0","0","   0.00","0.000000e+00","0","   0.0000000","0","    0.000000","    0.00000","0","     0.0","0","    0.00","0","    0.00","   0.0000","    0.000000","0","0","    0.00","     0.000","    0.0000","0.000000"," 0.000000","  0.0000","0","  0.0000","0","    0.000000","  0.0000","0","0.000000e+00","  0.0000","    0.00","    0.00","0","0","0.000000","0"," 0.000000","0","0","0.000000e+00","0","0","     0.00000","   0.000","0","   0.000","0","    0.00","0","0","0","0","     0.000","    0.00"," 0.00000","0","0","0","0.000000e+00","0","0","0","0","0","0","   0.000","0","0","    0.000","0","0"," 0.00000","     0.000","    0.00","   0.0000","0","    0.00","    0.00","0","0","0","    0.0","   0.000","0","0","0","    0.000","  0.0000","    0.00000","    0.00","0","0.000000e+00","0.000000","0","0","0","     0","0","    0.000000","0","   0.000","   0.000","0"," 0.00000","0","      0.0000","     0.0","   0.000","0","  0.0000","0","0","0","0","    0.00","0","0","0","0","    0.00000","0","0","   0.000"," 0.00000","    0","0"
"Czechia","   0.000","0.000000","    0.00","0","0","   0.0","0","0","   0.00","0.000000e+00","0","   0.0000000","0","    0.000000","    0.00000","0","     0.0","0","    0.00","0","    0.00","   0.0000","    0.000000","0","0","    0.00","     0.000","    0.0000","0.000000"," 0.000000","  0.0000","0","  0.0000","0","    0.000000","  0.0000","0","0.000000e+00","  0.0000","    0.00","    0.00","0","0","0.000000","0"," 0.000000","0","0","0.000000e+00","0","0","     0.00000","   0.000","0","   0.000","0","    0.00","0","0","0","0","     0.000","    0.00"," 0.00000","0","0","0","0.000000e+00","0","0","0","0","0","0","   0.000","0","0","    0.000","0","0"," 0.00000","     0.000","    0.00","   0.0000","0","    0.00","    0.00","0","0","0","    0.0","   0.000","0","0","0","    0.000","  0.0000","    0.00000","    0.00","0","0.000000e+00","0.000000","0","0","0","     0","0","    0.000000","0","   0.000","   0.000","0"," 0.00000","0","      0.0000","     0.0","   0.000","0","  0.0000","0","0","0","0","    0.00","0","0","0","0","    0.00000","0","0","   0.000"," 0.00000","    0","0"
"Panama","   0.000","0.000000","    0.00","0","0","   0.0","0","0","   0.00","0.000000e+00","0","   0.0000000","0","    0.000000","    0.00000","0","     0.0","0","    0.00","0","    0.00","   0.0000","    0.000000","0","0","    0.00","     0.000","    0.0000","0.000000"," 0.000000","  0.0000","0","  0.0000","0","    0.000000","  0.0000","0","0.000000e+00","  0.0000","    0.00","    0.00","0","0","0.000000","0"," 0.000000","0","0","0.000000e+00","0","0","     0.00000","   0.000","0","   0.000","0","    0.00","0","0","0","0","     0.000","    0.00"," 0.00000","0","0","0","0.000000e+00","0","0","0","0","0","0","   0.000","0","0","    0.000","0","0"," 0.00000","     0.000","    0.00","   0.0000","0","    0.00","    0.00","0","0","0","    0.0","   0.000","0","0","0","    0.000","  0.0000","    0.00000","    0.00","0","0.000000e+00","0.000000","0","0","0","     0","0","    0.000000","0","   0.000","   0.000","0"," 0.00000","0","      0.0000","     0.0","   0.000","0","  0.0000","0","0","0","0","    0.00","0","0","0","0","    0.00000","0","0","   0.000"," 0.00000","    0","0"
"Norway","   0.000","0.000000","    0.00","0","0","   0.0","0","0","   0.00","0.000000e+00","0","   0.0000000","0","    0.000000","    0.00000","0","     0.0","0","    0.00","0","    0.00","   0.0000","    0.000000","0","0","    0.00","     0.000","    0.0000","0.000000"," 0.000000","  0.0000","0","  0.0000","0","    0.000000","  0.0000","0","0.000000e+00","  0.0000","    0.00","    0.00","0","0","0.000000","0"," 0.000000","0","0","0.000000e+00","0","0","     0.00000","   0.000","0","   0.000","0","    0.00","0","0","0","0","     0.000","    0.00"," 0.00000","0","0","0","0.000000e+00","0","0","0","0","0","0","   0.000","0","0","    0.000","0","0"," 0.00000","     0.000","    0.00","   0.0000","0","    0.00","    0.00","0","0","0","    0.0","   0.000","0","0","0","    0.000","  0.0000","    0.00000","    0.00","0","0.000000e+00","0.000000","0","0","0","     0","0","    0.000000","0","   0.000","   0.000","0"," 0.00000","0","      0.0000","     0.0","   0.000","0","  0.0000","0","0","0","0","    0.00","0","0","0","0","    0.00000","0","0","   0.000"," 0.00000","    0","0"
