"","Trinidad and Tobago","Tonga","Thailand","United Republic of Tanzania","China, Taiwan Province of","Turkmenistan","Syrian Arab Republic","Switzerland","Sweden","Eswatini","Suriname","Spain","South Africa","Singapore","Slovakia","Slovenia","Saudi Arabia","Sao Tome and Principe","Russian Federation","Romania","Zimbabwe","Qatar","Portugal","Poland","Philippines","Peru","Paraguay","Papua New Guinea","Czechia","Panama","Norway","Niger","Nicaragua","New Zealand","The former Yugoslav Republic of Macedonia","New Caledonia","Netherlands","Nepal","Republic of Moldova","Mozambique","Morocco","Mexico","Mauritius","Mauritania","Malta","Maldives","Malaysia","Malawi","Madagascar","China, Macao SAR","Lithuania","Libya","Lebanon","Lao People's Democratic Republic","Latvia","Kuwait","Republic of Korea","Democratic People's Republic of Korea","Cambodia","Kenya","Kyrgyzstan","Jordan","Japan","Jamaica","Kazakhstan","Côte d'Ivoire","Italy","Israel","Ireland","Iraq","Iran (Islamic Republic of)","Indonesia","India","Iceland","Croatia","Hungary","China, Hong Kong SAR","Honduras","Guatemala","Guam","Greece","Ghana","Bosnia and Herzegovina","Germany","Gabon","French Polynesia","France","Finland","Fiji","Faroe Islands","Estonia","El Salvador","Egypt","Ecuador","Denmark","Azerbaijan","Cyprus","Cuba","Costa Rica","Congo","Colombia","China, mainland","Chile","Sri Lanka","Cabo Verde","Canada","Cameroon","Myanmar","Bulgaria","Brunei Darussalam","Solomon Islands","Belize","Aruba","Brazil","Bolivia (Plurinational State of)","Bangladesh","Barbados","Bahamas","Austria","Australia","Argentina","Angola","Algeria","Afghanistan"
"The former Yugoslav Republic of Macedonia","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"New Caledonia","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Netherlands","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Nepal","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Republic of Moldova","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Mozambique","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Morocco","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Mexico","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","129372.9","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Mauritius","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Mauritania","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Malta","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Maldives","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Malaysia","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Malawi","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Madagascar","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"China, Macao SAR","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Lithuania","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Libya","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Lebanon","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Lao People's Democratic Republic","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Latvia","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Kuwait","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Republic of Korea","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Democratic People's Republic of Korea","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
