"","Trinidad and Tobago","Thailand","United Republic of Tanzania","China, Taiwan Province of","Turkmenistan","Syrian Arab Republic","Switzerland","Sweden","Eswatini","Suriname","Sudan (former)","Spain","South Africa","Singapore","Slovakia","Slovenia","Sierra Leone","Saudi Arabia","Serbia and Montenegro","Russian Federation","Romania","Zimbabwe","Qatar","Portugal","Poland","Philippines","Peru","Paraguay","Papua New Guinea","Czechia","Panama","Norway","Niger","Nicaragua","New Zealand","The former Yugoslav Republic of Macedonia","New Caledonia","Netherlands Antilles (former)","Netherlands","Nepal","Republic of Moldova","Micronesia (Federated States of)","Mozambique","Morocco","Mexico","Mauritius","Malta","Maldives","Malaysia","Malawi","Madagascar","China, Macao SAR","Lithuania","Libya","Lebanon","Lao People's Democratic Republic","Latvia","Kuwait","Republic of Korea","Democratic People's Republic of Korea","Cambodia","Kenya","Kyrgyzstan","Jordan","Japan","Jamaica","Kazakhstan","Côte d'Ivoire","Italy","Israel","Ireland","Iraq","Iran (Islamic Republic of)","Indonesia","India","Iceland","Croatia","Hungary","China, Hong Kong SAR","Honduras","Guatemala","Guam","Greece","Ghana","Bosnia and Herzegovina","Germany","Gabon","French Polynesia","France","Finland","Fiji","Faroe Islands","Estonia","El Salvador","Egypt","Ecuador","Dominican Republic","Denmark","Azerbaijan","Cyprus","Cuba","Costa Rica","Congo","Colombia","China, mainland","Chile","Sri Lanka","Cayman Islands","Cabo Verde","Canada","Cameroon","Myanmar","Bulgaria","Brunei Darussalam","Belize","Brazil","Bolivia (Plurinational State of)","Bermuda","Bangladesh","Barbados","Austria","Australia","Argentina","Angola","Algeria","Albania","Afghanistan"
"Thailand","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"United Republic of Tanzania","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"China, Taiwan Province of","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Turkmenistan","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Syrian Arab Republic","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Switzerland","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Sweden","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Eswatini","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Suriname","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Sudan (former)","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"Spain","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","     0.0"," 0.00000","1.352830e+07"," 0.00000","    0.0000","91069.003","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0"," 0.00000","0","    0.00","0","0","0","    0.00000","0"," 0.00000","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0"," 31874.151","    0.00","0","   0.000","0","     0.000","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","4.052571e+05","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","  0.0000","  0.0000","    0.00","0"
"South Africa","0.000000","     0.00000","0","    0.0000"," 0.00000","    0.0","    0.0000","    0.000000","0","0","0","    0.00","   0.00000","   0.000"," 0.00000","  0.000000","0","   0.00000"," 0.00000","0","   0.00000","163721.7"," 0.00000","0.000000e+00"," 0.00000","    0.0000","    0.000","    0.00","0"," 0.00000","0","0.000000","0","0","0.000000","0","0","0","0.000000e+00","   0.000","0","0","73.97064","0","    0.00","0","0","0","    0.00000","0","24.65688","0","0.000000","0","0","0","0","  0.000","  0.0000","0","0","0","0.00000000","0","0.000000","0","     0.00000","0","     0.000","    0.00","0","   0.000","0","  7397.064","    0.00","0"," 0.00000","   0.000","  0.0000","0","    0.00","0","     0.00000"," 0.00000","0","0.000000e+00","0","0","0.000000e+00","0.000000"," 0.00000","0"," 0.00000","0","     0.00000","0","0","    0.000000","0","      0","0","0"," 0.00000","    0.00","      0","     0.0","  0.000","0","0","  0.0000","0","  0.0000","0","0","0"," 0.00000","  0.0000","0","    0.00","0","    0.000000"," 0.000000","0","123.2844","  0.0000","    0.00","0"
