"","Eswatini","Suriname","Spain","South Africa","Singapore","Slovakia","Slovenia","Sierra Leone","Saudi Arabia","Sao Tome and Principe","Russian Federation","Romania","Zimbabwe","Qatar","Guinea-Bissau","Portugal","Poland","Philippines","Peru","Paraguay","Papua New Guinea","Czechia","Panama","Norway","Niger","Nicaragua","New Zealand","The former Yugoslav Republic of Macedonia","New Caledonia","Netherlands","Nepal","Republic of Moldova","Micronesia (Federated States of)","Mozambique","Morocco","Mongolia","Mexico","Mauritius","Mauritania","Malta","Maldives","Malaysia","Malawi","Madagascar","China, Macao SAR","Lithuania","Libya","Lebanon","Lao People's Democratic Republic","Latvia","Kuwait","Republic of Korea","Democratic People's Republic of Korea","Cambodia","Kenya","Kyrgyzstan","Jordan","Japan","Jamaica","Kazakhstan","Côte d'Ivoire","Italy","Israel","Ireland","Iraq","Iran (Islamic Republic of)","Indonesia","India","Iceland","Croatia","Hungary","China, Hong Kong SAR","Honduras","Guatemala","Guam","Greece","Ghana","Bosnia and Herzegovina","Germany","Gabon","French Polynesia","France","Finland","Fiji","Faroe Islands","Estonia","El Salvador","Egypt","Ecuador","Dominican Republic","Denmark","Azerbaijan","Cyprus","Cuba","Costa Rica","Congo","Colombia","China, mainland","Chile","Sri Lanka","Cayman Islands","Cabo Verde","Canada","Cameroon","Myanmar","Bulgaria","Brunei Darussalam","Solomon Islands","Belize","Brazil","Bolivia (Plurinational State of)","Bangladesh","Barbados","Bahamas","Austria","Australia","Argentina","Angola","Algeria","Albania"
"Slovenia","   0.000","0","   0.00000"," 0.00000","   0.00000","   0.0000","   0.00000","0","  0.0000000","0","  0.00000","    0.000000","0","    0.0000","0","0.000000e+00","  0.00000","   0.000","    0.00","   0.000","0"," 0.00000","    0.000","0","0","0"," 0.00000","0","0","    0.000000","    0.000","   0.00000","0","   0.00000","    0.000","0","  0.0000","  0.0000","0"," 0.00000","0","    0.0000","  0.0000","0.0000000","0","0"," 0.00000","   0.0000000","0","0","  0.0000","    0.00","0","0","    0.00","0.0000000","   0.00000","  0.000000","0","   0.000","0","     0.00000"," 0.00000","0","0.000000","    0.00","    0.00","    0.000","0","  0.0000","0.000000e+00","0.000000","0","    0.00","0","0.000000e+00","  0.0000"," 0.00000","     0.00000","0","0","0.000000e+00","0.000000"," 0.00000","0","0.000000","0","     0.0","0","0","    0.00","0","  0.0000","    0.00","0","0.000000","    0.00","0.000000e+00","    0.00"," 0.00000","0","0","    0.000"," 0.00000","  0.0000","0.000000e+00","0","0","    0.00"," 0.00000","   0.000","    0.00","0","  0.0000","     0.0000"," 0.0000","0","  0.0000","0.000000","0"
"Sierra Leone","   0.000","0","   0.00000"," 0.00000","   0.00000","   0.0000","   0.00000","0","  0.0000000","0","  0.00000","    0.000000","0","    0.0000","0","0.000000e+00","  0.00000","   0.000","    0.00","   0.000","0"," 0.00000","    0.000","0","0","0"," 0.00000","0","0","    0.000000","    0.000","   0.00000","0","   0.00000","    0.000","0","  0.0000","  0.0000","0"," 0.00000","0","    0.0000","  0.0000","0.0000000","0","0"," 0.00000","   0.0000000","0","0","  0.0000","    0.00","0","0","    0.00","0.0000000","   0.00000","  0.000000","0","   0.000","0","     0.00000"," 0.00000","0","0.000000","    0.00","    0.00","    0.000","0","  0.0000","0.000000e+00","0.000000","0","    0.00","0","0.000000e+00","  0.0000"," 0.00000","     0.00000","0","0","0.000000e+00","0.000000"," 0.00000","0","0.000000","0","     0.0","0","0","    0.00","0","  0.0000","    0.00","0","0.000000","    0.00","0.000000e+00","    0.00"," 0.00000","0","0","    0.000"," 0.00000","  0.0000","0.000000e+00","0","0","    0.00"," 0.00000","   0.000","    0.00","0","  0.0000","     0.0000"," 0.0000","0","  0.0000","0.000000","0"
"Saudi Arabia","   0.000","0","   0.00000"," 0.00000","   0.00000","   0.0000","   0.00000","0","  0.0000000","0","  0.00000","    0.000000","0","    0.0000","0","0.000000e+00","  0.00000","   0.000","    0.00","   0.000","0"," 0.00000","    0.000","0","0","0"," 0.00000","0","0","    0.000000","    0.000","   0.00000","0","   0.00000","    0.000","0","  0.0000","  0.0000","0"," 0.00000","0","    0.0000","  0.0000","0.0000000","0","0"," 0.00000","   0.0000000","0","0","  0.0000","    0.00","0","0","    0.00","0.0000000","   0.00000","  0.000000","0","   0.000","0","     0.00000"," 0.00000","0","0.000000","    0.00","    0.00","    0.000","0","  0.0000","0.000000e+00","0.000000","0","    0.00","0","0.000000e+00","  0.0000"," 0.00000","     0.00000","0","0","0.000000e+00","0.000000"," 0.00000","0","0.000000","0","     0.0","0","0","    0.00","0","  0.0000","    0.00","0","0.000000","    0.00","0.000000e+00","    0.00"," 0.00000","0","0","    0.000"," 0.00000","  0.0000","0.000000e+00","0","0","    0.00"," 0.00000","   0.000","    0.00","0","  0.0000","     0.0000"," 0.0000","0","  0.0000","0.000000","0"
"Sao Tome and Principe","   0.000","0","   0.00000"," 0.00000","   0.00000","   0.0000","   0.00000","0","  0.0000000","0","  0.00000","    0.000000","0","    0.0000","0","0.000000e+00","  0.00000","   0.000","    0.00","   0.000","0"," 0.00000","    0.000","0","0","0"," 0.00000","0","0","    0.000000","    0.000","   0.00000","0","   0.00000","    0.000","0","  0.0000","  0.0000","0"," 0.00000","0","    0.0000","  0.0000","0.0000000","0","0"," 0.00000","   0.0000000","0","0","  0.0000","    0.00","0","0","    0.00","0.0000000","   0.00000","  0.000000","0","   0.000","0","     0.00000"," 0.00000","0","0.000000","    0.00","    0.00","    0.000","0","  0.0000","0.000000e+00","0.000000","0","    0.00","0","0.000000e+00","  0.0000"," 0.00000","     0.00000","0","0","0.000000e+00","0.000000"," 0.00000","0","0.000000","0","     0.0","0","0","    0.00","0","  0.0000","    0.00","0","0.000000","    0.00","0.000000e+00","    0.00"," 0.00000","0","0","    0.000"," 0.00000","  0.0000","0.000000e+00","0","0","    0.00"," 0.00000","   0.000","    0.00","0","  0.0000","     0.0000"," 0.0000","0","  0.0000","0.000000","0"
"Russian Federation","   0.000","0","   0.00000"," 0.00000","   0.00000","   0.0000","   0.00000","0","  0.0000000","0","  0.00000","    0.000000","0","    0.0000","0","0.000000e+00","  0.00000","   0.000","    0.00","   0.000","0"," 0.00000","    0.000","0","0","0"," 0.00000","0","0","    0.000000","    0.000","   0.00000","0","   0.00000","    0.000","0","  0.0000","  0.0000","0"," 0.00000","0","    0.0000","  0.0000","0.0000000","0","0"," 0.00000","   0.0000000","0","0","  0.0000","    0.00","0","0","    0.00","0.0000000","   0.00000","  0.000000","0","   0.000","0","     0.00000"," 0.00000","0","0.000000","    0.00","    0.00","    0.000","0","  0.0000","0.000000e+00","0.000000","0","    0.00","0","0.000000e+00","  0.0000"," 0.00000","     0.00000","0","0","0.000000e+00","0.000000"," 0.00000","0","0.000000","0","     0.0","0","0","    0.00","0","  0.0000","    0.00","0","0.000000","    0.00","0.000000e+00","    0.00"," 0.00000","0","0","    0.000"," 0.00000","  0.0000","0.000000e+00","0","0","    0.00"," 0.00000","   0.000","    0.00","0","  0.0000","     0.0000"," 0.0000","0","  0.0000","0.000000","0"
"Romania","   0.000","0","  46.16742"," 0.00000","   0.00000","   0.0000","3462.55643","0","  0.0000000","0","  0.00000","    0.000000","0","    0.0000","0","1.283454e+04","  0.00000","   0.000","    0.00","   0.000","0"," 0.00000","    0.000","0","0","0"," 0.00000","0","0","66388.748694","    0.000","3047.04966","0","   0.00000","    0.000","0","  0.0000","  0.0000","0"," 0.00000","0","    0.0000","  0.0000","0.0000000","0","0"," 0.00000","   0.0000000","0","0","  0.0000","    0.00","0","0","    0.00","0.0000000","   0.00000","  0.000000","0","   0.000","0","368323.66974"," 0.00000","0","0.000000","    0.00","    0.00","    0.000","0","  0.0000","3.114454e+05","0.000000","0","    0.00","0","1.270527e+05","  0.0000"," 0.00000","620582.44780","0","0","9.233484e+01","0.000000"," 0.00000","0","0.000000","0","     0.0","0","0","    0.00","0","  0.0000","    0.00","0","0.000000","    0.00","0.000000e+00","    0.00"," 0.00000","0","0","    0.000"," 0.00000","  0.0000","1.523525e+04","0","0","    0.00"," 0.00000","   0.000","    0.00","0","  0.0000","226774.3627"," 0.0000","0","  0.0000","0.000000","0"
"Zimbabwe","   0.000","0","   0.00000"," 0.00000","   0.00000","   0.0000","   0.00000","0","  0.0000000","0","  0.00000","    0.000000","0","    0.0000","0","0.000000e+00","  0.00000","   0.000","    0.00","   0.000","0"," 0.00000","    0.000","0","0","0"," 0.00000","0","0","    0.000000","    0.000","   0.00000","0"," 836.31954","    0.000","0","  0.0000","  0.0000","0"," 0.00000","0","    0.0000","  0.0000","0.0000000","0","0"," 0.00000","   0.0000000","0","0","  0.0000","    0.00","0","0","    0.00","0.0000000","   0.00000","  0.000000","0","   0.000","0","     0.00000"," 0.00000","0","0.000000","    0.00","    0.00","    0.000","0","  0.0000","0.000000e+00","0.000000","0","    0.00","0","0.000000e+00","  0.0000"," 0.00000","     0.00000","0","0","0.000000e+00","0.000000"," 0.00000","0","0.000000","0","     0.0","0","0","    0.00","0","  0.0000","    0.00","0","0.000000","    0.00","0.000000e+00","    0.00"," 0.00000","0","0","    0.000"," 0.00000","  0.0000","0.000000e+00","0","0","    0.00"," 0.00000","   0.000","    0.00","0","  0.0000","     0.0000"," 0.0000","0","  0.0000","0.000000","0"
"Qatar","   0.000","0","   0.00000"," 0.00000","   0.00000","   0.0000","   0.00000","0","  0.0000000","0","  0.00000","    0.000000","0","    0.0000","0","0.000000e+00","  0.00000","   0.000","    0.00","   0.000","0"," 0.00000","    0.000","0","0","0"," 0.00000","0","0","    0.000000","    0.000","   0.00000","0","   0.00000","    0.000","0","  0.0000","  0.0000","0"," 0.00000","0","    0.0000","  0.0000","0.0000000","0","0"," 0.00000","   0.0000000","0","0","  0.0000","    0.00","0","0","    0.00","0.0000000","   0.00000","  0.000000","0","   0.000","0","     0.00000"," 0.00000","0","0.000000","    0.00","    0.00","    0.000","0","  0.0000","0.000000e+00","0.000000","0","    0.00","0","0.000000e+00","  0.0000"," 0.00000","     0.00000","0","0","0.000000e+00","0.000000"," 0.00000","0","0.000000","0","     0.0","0","0","    0.00","0","  0.0000","    0.00","0","0.000000","    0.00","0.000000e+00","    0.00"," 0.00000","0","0","    0.000"," 0.00000","  0.0000","0.000000e+00","0","0","    0.00"," 0.00000","   0.000","    0.00","0","  0.0000","     0.0000"," 0.0000","0","  0.0000","0.000000","0"
"Guinea-Bissau","   0.000","0","   0.00000"," 0.00000","   0.00000","   0.0000","   0.00000","0","  0.0000000","0","  0.00000","    0.000000","0","    0.0000","0","0.000000e+00","  0.00000","   0.000","    0.00","   0.000","0"," 0.00000","    0.000","0","0","0"," 0.00000","0","0","    0.000000","    0.000","   0.00000","0","   0.00000","    0.000","0","  0.0000","  0.0000","0"," 0.00000","0","    0.0000","  0.0000","0.0000000","0","0"," 0.00000","   0.0000000","0","0","  0.0000","    0.00","0","0","    0.00","0.0000000","   0.00000","  0.000000","0","   0.000","0","     0.00000"," 0.00000","0","0.000000","    0.00","    0.00","    0.000","0","  0.0000","0.000000e+00","0.000000","0","    0.00","0","0.000000e+00","  0.0000"," 0.00000","     0.00000","0","0","0.000000e+00","0.000000"," 0.00000","0","0.000000","0","     0.0","0","0","    0.00","0","  0.0000","    0.00","0","0.000000","    0.00","0.000000e+00","    0.00"," 0.00000","0","0","    0.000"," 0.00000","  0.0000","0.000000e+00","0","0","    0.00"," 0.00000","   0.000","    0.00","0","  0.0000","     0.0000"," 0.0000","0","  0.0000","0.000000","0"
"Portugal","   0.000","0","   0.00000"," 0.00000","   0.00000","   0.0000","   0.00000","0","  0.0000000","0","  0.00000","    0.000000","0","    0.0000","0","0.000000e+00","  0.00000","   0.000","    0.00","   0.000","0"," 0.00000","    0.000","0","0","0"," 0.00000","0","0","    0.000000","    0.000","   0.00000","0","   0.00000","    0.000","0","  0.0000","  0.0000","0"," 0.00000","0","    0.0000","  0.0000","0.0000000","0","0"," 0.00000","   0.0000000","0","0","  0.0000","    0.00","0","0","    0.00","0.0000000","   0.00000","  0.000000","0","   0.000","0","     0.00000"," 0.00000","0","0.000000","    0.00","    0.00","    0.000","0","  0.0000","0.000000e+00","0.000000","0","    0.00","0","0.000000e+00","  0.0000"," 0.00000","     0.00000","0","0","0.000000e+00","0.000000"," 0.00000","0","0.000000","0","     0.0","0","0","    0.00","0","  0.0000","    0.00","0","0.000000","    0.00","0.000000e+00","    0.00"," 0.00000","0","0","    0.000"," 0.00000","  0.0000","0.000000e+00","0","0","    0.00"," 0.00000","   0.000","    0.00","0","  0.0000","     0.0000"," 0.0000","0","  0.0000","0.000000","0"
"Poland","   0.000","0","   0.00000"," 0.00000","   0.00000","   0.0000","   0.00000","0","  0.0000000","0","  0.00000","    0.000000","0","    0.0000","0","0.000000e+00","  0.00000","   0.000","    0.00","   0.000","0"," 0.00000","    0.000","0","0","0"," 0.00000","0","0","    0.000000","    0.000","   0.00000","0","   0.00000","    0.000","0","  0.0000","  0.0000","0"," 0.00000","0","    0.0000","  0.0000","0.0000000","0","0"," 0.00000","   0.0000000","0","0","  0.0000","    0.00","0","0","    0.00","0.0000000","   0.00000","  0.000000","0","   0.000","0","     0.00000"," 0.00000","0","0.000000","    0.00","    0.00","    0.000","0","  0.0000","0.000000e+00","0.000000","0","    0.00","0","0.000000e+00","  0.0000"," 0.00000","     0.00000","0","0","0.000000e+00","0.000000"," 0.00000","0","0.000000","0","     0.0","0","0","    0.00","0","  0.0000","    0.00","0","0.000000","    0.00","0.000000e+00","    0.00"," 0.00000","0","0","    0.000"," 0.00000","  0.0000","0.000000e+00","0","0","    0.00"," 0.00000","   0.000","    0.00","0","  0.0000","     0.0000"," 0.0000","0","  0.0000","0.000000","0"
"Philippines","   0.000","0","   0.00000"," 0.00000","   0.00000","   0.0000","   0.00000","0","  0.0000000","0","  0.00000","    0.000000","0","    0.0000","0","0.000000e+00","  0.00000","   0.000","    0.00","   0.000","0"," 0.00000","    0.000","0","0","0"," 0.00000","0","0","    0.000000","    0.000","   0.00000","0","   0.00000","    0.000","0","  0.0000","  0.0000","0"," 0.00000","0","    0.0000","  0.0000","0.0000000","0","0"," 0.00000","   0.0000000","0","0","  0.0000","    0.00","0","0","    0.00","0.0000000","   0.00000","  0.000000","0","   0.000","0","     0.00000"," 0.00000","0","0.000000","    0.00","    0.00","    0.000","0","  0.0000","0.000000e+00","0.000000","0","    0.00","0","0.000000e+00","  0.0000"," 0.00000","     0.00000","0","0","0.000000e+00","0.000000"," 0.00000","0","0.000000","0","     0.0","0","0","    0.00","0","  0.0000","    0.00","0","0.000000","    0.00","0.000000e+00","    0.00"," 0.00000","0","0","    0.000"," 0.00000","  0.0000","0.000000e+00","0","0","    0.00"," 0.00000","   0.000","    0.00","0","  0.0000","     0.0000"," 0.0000","0","  0.0000","0.000000","0"
"Peru","   0.000","0","   0.00000"," 0.00000","   0.00000","   0.0000","   0.00000","0","  0.0000000","0","  0.00000","    0.000000","0","    0.0000","0","0.000000e+00","  0.00000","   0.000","    0.00","   0.000","0"," 0.00000","    0.000","0","0","0"," 0.00000","0","0","    0.000000","    0.000","   0.00000","0","   0.00000","    0.000","0","  0.0000","  0.0000","0"," 0.00000","0","    0.0000","  0.0000","0.0000000","0","0"," 0.00000","   0.0000000","0","0","  0.0000","    0.00","0","0","    0.00","0.0000000","   0.00000","  0.000000","0","   0.000","0","     0.00000"," 0.00000","0","0.000000","    0.00","    0.00","    0.000","0","  0.0000","0.000000e+00","0.000000","0","    0.00","0","0.000000e+00","  0.0000"," 0.00000","     0.00000","0","0","0.000000e+00","0.000000"," 0.00000","0","0.000000","0","     0.0","0","0","    0.00","0","  0.0000","    0.00","0","0.000000","    0.00","0.000000e+00","    0.00"," 0.00000","0","0","    0.000"," 0.00000","  0.0000","0.000000e+00","0","0","    0.00"," 0.00000","   0.000","    0.00","0","  0.0000","     0.0000"," 0.0000","0","  0.0000","0.000000","0"
"Paraguay","   0.000","0","   0.00000"," 0.00000","   0.00000","   0.0000","   0.00000","0","  0.0000000","0","  0.00000","    0.000000","0","    0.0000","0","0.000000e+00","  0.00000","   0.000","    0.00","   0.000","0"," 0.00000","    0.000","0","0","0"," 0.00000","0","0","    0.000000","    0.000","   0.00000","0","   0.00000","    0.000","0","  0.0000","  0.0000","0"," 0.00000","0","    0.0000","  0.0000","0.0000000","0","0"," 0.00000","   0.0000000","0","0","  0.0000","    0.00","0","0","    0.00","0.0000000","   0.00000","  0.000000","0","   0.000","0","     0.00000"," 0.00000","0","0.000000","    0.00","    0.00","    0.000","0","  0.0000","0.000000e+00","0.000000","0","    0.00","0","0.000000e+00","  0.0000"," 0.00000","     0.00000","0","0","0.000000e+00","0.000000"," 0.00000","0","0.000000","0","     0.0","0","0","    0.00","0","  0.0000","    0.00","0","0.000000","    0.00","0.000000e+00","    0.00"," 0.00000","0","0","    0.000"," 0.00000","  0.0000","0.000000e+00","0","0","    0.00"," 0.00000","   0.000","    0.00","0","  0.0000","     0.0000"," 0.0000","0","  0.0000","0.000000","0"
"Papua New Guinea","   0.000","0","   0.00000"," 0.00000","   0.00000","   0.0000","   0.00000","0","  0.0000000","0","  0.00000","    0.000000","0","    0.0000","0","0.000000e+00","  0.00000","   0.000","    0.00","   0.000","0"," 0.00000","    0.000","0","0","0"," 0.00000","0","0","    0.000000","    0.000","   0.00000","0","   0.00000","    0.000","0","  0.0000","  0.0000","0"," 0.00000","0","    0.0000","  0.0000","0.0000000","0","0"," 0.00000","   0.0000000","0","0","  0.0000","    0.00","0","0","    0.00","0.0000000","   0.00000","  0.000000","0","   0.000","0","     0.00000"," 0.00000","0","0.000000","    0.00","    0.00","    0.000","0","  0.0000","0.000000e+00","0.000000","0","    0.00","0","0.000000e+00","  0.0000"," 0.00000","     0.00000","0","0","0.000000e+00","0.000000"," 0.00000","0","0.000000","0","     0.0","0","0","    0.00","0","  0.0000","    0.00","0","0.000000","    0.00","0.000000e+00","    0.00"," 0.00000","0","0","    0.000"," 0.00000","  0.0000","0.000000e+00","0","0","    0.00"," 0.00000","   0.000","    0.00","0","  0.0000","     0.0000"," 0.0000","0","  0.0000","0.000000","0"
"Czechia","   0.000","0","   0.00000"," 0.00000","   0.00000","   0.0000","   0.00000","0","  0.0000000","0","  0.00000","    0.000000","0","    0.0000","0","0.000000e+00","  0.00000","   0.000","    0.00","   0.000","0"," 0.00000","    0.000","0","0","0"," 0.00000","0","0","    0.000000","    0.000","   0.00000","0","   0.00000","    0.000","0","  0.0000","  0.0000","0"," 0.00000","0","    0.0000","  0.0000","0.0000000","0","0"," 0.00000","   0.0000000","0","0","  0.0000","    0.00","0","0","    0.00","0.0000000","   0.00000","  0.000000","0","   0.000","0","     0.00000"," 0.00000","0","0.000000","    0.00","    0.00","    0.000","0","  0.0000","0.000000e+00","0.000000","0","    0.00","0","0.000000e+00","  0.0000"," 0.00000","     0.00000","0","0","0.000000e+00","0.000000"," 0.00000","0","0.000000","0","     0.0","0","0","    0.00","0","  0.0000","    0.00","0","0.000000","    0.00","0.000000e+00","    0.00"," 0.00000","0","0","    0.000"," 0.00000","  0.0000","0.000000e+00","0","0","    0.00"," 0.00000","   0.000","    0.00","0","  0.0000","     0.0000"," 0.0000","0","  0.0000","0.000000","0"
"Panama","   0.000","0","   0.00000"," 0.00000","   0.00000","   0.0000","   0.00000","0","  0.0000000","0","  0.00000","    0.000000","0","    0.0000","0","0.000000e+00","  0.00000","   0.000","    0.00","   0.000","0"," 0.00000","    0.000","0","0","0"," 0.00000","0","0","    0.000000","    0.000","   0.00000","0","   0.00000","    0.000","0","  0.0000","  0.0000","0"," 0.00000","0","    0.0000","  0.0000","0.0000000","0","0"," 0.00000","   0.0000000","0","0","  0.0000","    0.00","0","0","    0.00","0.0000000","   0.00000","  0.000000","0","   0.000","0","     0.00000"," 0.00000","0","0.000000","    0.00","    0.00","    0.000","0","  0.0000","0.000000e+00","0.000000","0","    0.00","0","0.000000e+00","  0.0000"," 0.00000","     0.00000","0","0","0.000000e+00","0.000000"," 0.00000","0","0.000000","0","     0.0","0","0","    0.00","0","  0.0000","    0.00","0","0.000000","    0.00","0.000000e+00","    0.00"," 0.00000","0","0","    0.000"," 0.00000","  0.0000","0.000000e+00","0","0","    0.00"," 0.00000","   0.000","    0.00","0","  0.0000","     0.0000"," 0.0000","0","  0.0000","0.000000","0"
"Norway","   0.000","0","   0.00000"," 0.00000","   0.00000","   0.0000","   0.00000","0","  0.0000000","0","  0.00000","    0.000000","0","    0.0000","0","0.000000e+00","  0.00000","   0.000","    0.00","   0.000","0"," 0.00000","    0.000","0","0","0"," 0.00000","0","0","    0.000000","    0.000","   0.00000","0","   0.00000","    0.000","0","  0.0000","  0.0000","0"," 0.00000","0","    0.0000","  0.0000","0.0000000","0","0"," 0.00000","   0.0000000","0","0","  0.0000","    0.00","0","0","    0.00","0.0000000","   0.00000","  0.000000","0","   0.000","0","     0.00000"," 0.00000","0","0.000000","    0.00","    0.00","    0.000","0","  0.0000","0.000000e+00","0.000000","0","    0.00","0","0.000000e+00","  0.0000"," 0.00000","     0.00000","0","0","0.000000e+00","0.000000"," 0.00000","0","0.000000","0","     0.0","0","0","    0.00","0","  0.0000","    0.00","0","0.000000","    0.00","0.000000e+00","    0.00"," 0.00000","0","0","    0.000"," 0.00000","  0.0000","0.000000e+00","0","0","    0.00"," 0.00000","   0.000","    0.00","0","  0.0000","     0.0000"," 0.0000","0","  0.0000","0.000000","0"
"Niger","   0.000","0","   0.00000"," 0.00000","   0.00000","   0.0000","   0.00000","0","  0.0000000","0","  0.00000","    0.000000","0","    0.0000","0","0.000000e+00","  0.00000","   0.000","    0.00","   0.000","0"," 0.00000","    0.000","0","0","0"," 0.00000","0","0","    0.000000","    0.000","   0.00000","0","   0.00000","    0.000","0","  0.0000","  0.0000","0"," 0.00000","0","    0.0000","  0.0000","0.0000000","0","0"," 0.00000","   0.0000000","0","0","  0.0000","    0.00","0","0","    0.00","0.0000000","   0.00000","  0.000000","0","   0.000","0","     0.00000"," 0.00000","0","0.000000","    0.00","    0.00","    0.000","0","  0.0000","0.000000e+00","0.000000","0","    0.00","0","0.000000e+00","  0.0000"," 0.00000","     0.00000","0","0","0.000000e+00","0.000000"," 0.00000","0","0.000000","0","     0.0","0","0","    0.00","0","  0.0000","    0.00","0","0.000000","    0.00","0.000000e+00","    0.00"," 0.00000","0","0","    0.000"," 0.00000","  0.0000","0.000000e+00","0","0","    0.00"," 0.00000","   0.000","    0.00","0","  0.0000","     0.0000"," 0.0000","0","  0.0000","0.000000","0"
"Nicaragua","   0.000","0","   0.00000"," 0.00000","   0.00000","   0.0000","   0.00000","0","  0.0000000","0","  0.00000","    0.000000","0","    0.0000","0","0.000000e+00","  0.00000","   0.000","    0.00","   0.000","0"," 0.00000","    0.000","0","0","0"," 0.00000","0","0","    0.000000","    0.000","   0.00000","0","   0.00000","    0.000","0","  0.0000","  0.0000","0"," 0.00000","0","    0.0000","  0.0000","0.0000000","0","0"," 0.00000","   0.0000000","0","0","  0.0000","    0.00","0","0","    0.00","0.0000000","   0.00000","  0.000000","0","   0.000","0","     0.00000"," 0.00000","0","0.000000","    0.00","    0.00","    0.000","0","  0.0000","0.000000e+00","0.000000","0","    0.00","0","0.000000e+00","  0.0000"," 0.00000","     0.00000","0","0","0.000000e+00","0.000000"," 0.00000","0","0.000000","0","     0.0","0","0","    0.00","0","  0.0000","    0.00","0","0.000000","    0.00","0.000000e+00","    0.00"," 0.00000","0","0","    0.000"," 0.00000","  0.0000","0.000000e+00","0","0","    0.00"," 0.00000","   0.000","    0.00","0","  0.0000","     0.0000"," 0.0000","0","  0.0000","0.000000","0"
"New Zealand","   0.000","0","   0.00000"," 0.00000","   0.00000","   0.0000","   0.00000","0","  0.0000000","0","  0.00000","    0.000000","0","    0.0000","0","0.000000e+00","  0.00000","   0.000","    0.00","   0.000","0"," 0.00000","    0.000","0","0","0"," 0.00000","0","0","    0.000000","    0.000","   0.00000","0","   0.00000","    0.000","0","  0.0000","  0.0000","0"," 0.00000","0","    0.0000","  0.0000","0.0000000","0","0"," 0.00000","   0.0000000","0","0","  0.0000","    0.00","0","0","    0.00","0.0000000","   0.00000","  0.000000","0","   0.000","0","     0.00000"," 0.00000","0","0.000000","    0.00","    0.00","    0.000","0","  0.0000","0.000000e+00","0.000000","0","    0.00","0","0.000000e+00","  0.0000"," 0.00000","     0.00000","0","0","0.000000e+00","0.000000"," 0.00000","0","0.000000","0","     0.0","0","0","    0.00","0","  0.0000","    0.00","0","0.000000","    0.00","0.000000e+00","    0.00"," 0.00000","0","0","    0.000"," 0.00000","  0.0000","0.000000e+00","0","0","    0.00"," 0.00000","   0.000","    0.00","0","  0.0000","     0.0000"," 0.0000","0","  0.0000","0.000000","0"
"The former Yugoslav Republic of Macedonia","   0.000","0","   0.00000"," 0.00000","   0.00000","   0.0000","   0.00000","0","  0.0000000","0","  0.00000","    0.000000","0","    0.0000","0","0.000000e+00","  0.00000","   0.000","    0.00","   0.000","0"," 0.00000","    0.000","0","0","0"," 0.00000","0","0","    0.000000","    0.000","   0.00000","0","   0.00000","    0.000","0","  0.0000","  0.0000","0"," 0.00000","0","    0.0000","  0.0000","0.0000000","0","0"," 0.00000","   0.0000000","0","0","  0.0000","    0.00","0","0","    0.00","0.0000000","   0.00000","  0.000000","0","   0.000","0","     0.00000"," 0.00000","0","0.000000","    0.00","    0.00","    0.000","0","  0.0000","0.000000e+00","0.000000","0","    0.00","0","0.000000e+00","  0.0000"," 0.00000","     0.00000","0","0","0.000000e+00","0.000000"," 0.00000","0","0.000000","0","     0.0","0","0","    0.00","0","  0.0000","    0.00","0","0.000000","    0.00","0.000000e+00","    0.00"," 0.00000","0","0","    0.000"," 0.00000","  0.0000","0.000000e+00","0","0","    0.00"," 0.00000","   0.000","    0.00","0","  0.0000","     0.0000"," 0.0000","0","  0.0000","0.000000","0"
"New Caledonia","   0.000","0","   0.00000"," 0.00000","   0.00000","   0.0000","   0.00000","0","  0.0000000","0","  0.00000","    0.000000","0","    0.0000","0","0.000000e+00","  0.00000","   0.000","    0.00","   0.000","0"," 0.00000","    0.000","0","0","0"," 0.00000","0","0","    0.000000","    0.000","   0.00000","0","   0.00000","    0.000","0","  0.0000","  0.0000","0"," 0.00000","0","    0.0000","  0.0000","0.0000000","0","0"," 0.00000","   0.0000000","0","0","  0.0000","    0.00","0","0","    0.00","0.0000000","   0.00000","  0.000000","0","   0.000","0","     0.00000"," 0.00000","0","0.000000","    0.00","    0.00","    0.000","0","  0.0000","0.000000e+00","0.000000","0","    0.00","0","0.000000e+00","  0.0000"," 0.00000","     0.00000","0","0","0.000000e+00","0.000000"," 0.00000","0","0.000000","0","     0.0","0","0","    0.00","0","  0.0000","    0.00","0","0.000000","    0.00","0.000000e+00","    0.00"," 0.00000","0","0","    0.000"," 0.00000","  0.0000","0.000000e+00","0","0","    0.00"," 0.00000","   0.000","    0.00","0","  0.0000","     0.0000"," 0.0000","0","  0.0000","0.000000","0"
