"","Syrian Arab Republic","Switzerland","Sweden","Eswatini","Suriname","Spain","South Africa","Singapore","Slovakia","Slovenia","Sierra Leone","Saudi Arabia","Russian Federation","Romania","Zimbabwe","Qatar","Guinea-Bissau","Portugal","Poland","Philippines","Peru","Paraguay","Papua New Guinea","Czechia","Panama","Norway","Niger","Nicaragua","New Zealand","The former Yugoslav Republic of Macedonia","New Caledonia","Netherlands","Nepal","Republic of Moldova","Mozambique","Morocco","Mongolia","Mexico","Mauritius","Mauritania","Malta","Maldives","Malaysia","Malawi","Madagascar","China, Macao SAR","Lithuania","Lebanon","Lao People's Democratic Republic","Latvia","Kuwait","Republic of Korea","Democratic People's Republic of Korea","Cambodia","Kenya","Kyrgyzstan","Jordan","Japan","Jamaica","Kazakhstan","Côte d'Ivoire","Italy","Israel","Ireland","Iraq","Iran (Islamic Republic of)","Indonesia","India","Iceland","Croatia","Hungary","China, Hong Kong SAR","Honduras","Guatemala","Guam","Greece","Ghana","Bosnia and Herzegovina","Germany","Gabon","French Polynesia","France","Finland","Fiji","Faroe Islands","Estonia","El Salvador","Egypt","Ecuador","Dominican Republic","Denmark","Azerbaijan","Cyprus","Cuba","Costa Rica","Congo","Colombia","China, mainland","Chile","Sri Lanka","Cabo Verde","Canada","Cameroon","Myanmar","Bulgaria","Brunei Darussalam","Solomon Islands","Belize","Aruba","Brazil","Bolivia (Plurinational State of)","Bangladesh","Barbados","Bahamas","Austria","Australia","Argentina","Angola","Algeria","Albania","Afghanistan"
"Sierra Leone","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"Saudi Arabia","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"Russian Federation","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"Romania","878610.77","62039.653","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","137546.6692","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","9157.8070","  0.0000","  0.000000","0","0","  0.00000","0","0","1975.213266","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","1399797.728","0","0","0","    0.00","     0.00","0","0","  0.000000","3.020281e+05"," 0.00000","0","0","0","1.843413e+06","0","   0.000","640956.7047","0","0","  27024.509","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","22625.17","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","373135.7424","  0.00000","0"," 0.00000","0","0","0"
"Zimbabwe","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","  242.46668","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"Qatar","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"Guinea-Bissau","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"Portugal","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"Poland","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"Philippines","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"Peru","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"Paraguay","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"Papua New Guinea","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"Czechia","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"Panama","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"Norway","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"Niger","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"Nicaragua","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"New Zealand","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"The former Yugoslav Republic of Macedonia","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"New Caledonia","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"Netherlands","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"Nepal","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"Republic of Moldova","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"Mozambique","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"Morocco","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"Mongolia","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
