"","Viet Nam","Venezuela (Bolivarian Republic of)","Uzbekistan","Uruguay","United States of America","Ukraine","United Kingdom","Uganda","United Arab Emirates","Turkey","Trinidad and Tobago","Thailand","United Republic of Tanzania","China, Taiwan Province of","Syrian Arab Republic","Switzerland","Sweden","Eswatini","Sudan (former)","Spain","South Africa","Singapore","Slovakia","Slovenia","Sierra Leone","Saudi Arabia","Serbia and Montenegro","Russian Federation","Romania","Zimbabwe","Qatar","Portugal","Poland","Philippines","Peru","Paraguay","Papua New Guinea","Czechia","Panama","Norway","Nicaragua","New Zealand","The former Yugoslav Republic of Macedonia","New Caledonia","Netherlands Antilles (former)","Netherlands","Nepal","Republic of Moldova","Mozambique","Morocco","Mexico","Mauritius","Mauritania","Malta","Maldives","Malaysia","Malawi","Madagascar","China, Macao SAR","Lithuania","Libya","Lebanon","Lao People's Democratic Republic","Latvia","Kuwait","Republic of Korea","Democratic People's Republic of Korea","Cambodia","Kenya","Kyrgyzstan","Jordan","Japan","Jamaica","Kazakhstan","C??te d'Ivoire","Italy","Israel","Ireland","Iraq","Iran (Islamic Republic of)","Indonesia","India","Iceland","Croatia","Hungary","China, Hong Kong SAR","Honduras","Guatemala","Guam","Greece","Ghana","Bosnia and Herzegovina","Germany","Gabon","French Polynesia","France","Finland","Fiji","Estonia","El Salvador","Egypt","Ecuador","Denmark","Azerbaijan","Cyprus","Cuba","Costa Rica","Colombia","China, mainland","Chile","Sri Lanka","Cayman Islands","Cabo Verde","Canada","Myanmar","Bulgaria","Brunei Darussalam","Belize","Aruba","Brazil","Bolivia (Plurinational State of)","Bangladesh","Barbados","Bahamas","Austria","Australia","Argentina","Angola","Algeria","Albania","Afghanistan"
"Eswatini","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Sudan (former)","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Spain","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","20443.017657","0","0","20443.018","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","2.770029e+07"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","20443.02"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","81772.071","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","5.110754e+07","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00"," 919935.8","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"South Africa","     0.0","0","0.000000","   0.000","    147.6487"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","  5561.4342","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","198341.4","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","1525.703","    0.00"," 0.00000","  0.0000","0","0","0.000000"," 2362.37914","24903.41","1968.649","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","4921.623","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","25395.58","  0.000","    0.00","0"
"Singapore","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Slovakia","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Slovenia","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Sierra Leone","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Saudi Arabia","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Serbia and Montenegro","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Russian Federation","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Romania","     0.0","0","0.000000","   0.000","      0.0000","41.64814","    0.00000","0","    0.00000","785692.17191","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","93208.539","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","61472.655","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","17658.81","0","0","      0.00","0","74133.690","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Zimbabwe","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Qatar","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Portugal","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Poland","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Philippines","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Peru","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Paraguay","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Papua New Guinea","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Czechia","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Panama","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Norway","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
