"","Turkey","Trinidad and Tobago","Tonga","Thailand","United Republic of Tanzania","China, Taiwan Province of","Syrian Arab Republic","Switzerland","Sweden","Eswatini","Suriname","Sudan (former)","Spain","South Africa","Singapore","Slovakia","Slovenia","Sierra Leone","Saudi Arabia","Russian Federation","Romania","Zimbabwe","Qatar","Guinea-Bissau","Portugal","Poland","Philippines","Peru","Paraguay","Papua New Guinea","Czechia","Panama","Norway","Niger","Nicaragua","New Zealand","The former Yugoslav Republic of Macedonia","New Caledonia","Netherlands","Nepal","Republic of Moldova","Mozambique","Morocco","Mongolia","Mexico","Mauritius","Mauritania","Malta","Maldives","Malaysia","Malawi","Madagascar","China, Macao SAR","Lithuania","Lebanon","Lao People's Democratic Republic","Latvia","Kuwait","Republic of Korea","Democratic People's Republic of Korea","Cambodia","Kenya","Kyrgyzstan","Jordan","Japan","Jamaica","Kazakhstan","Côte d'Ivoire","Italy","Israel","Ireland","Iraq","Iran (Islamic Republic of)","Indonesia","India","Iceland","Croatia","Hungary","China, Hong Kong SAR","Honduras","Guatemala","Guam","Greece","Ghana","Bosnia and Herzegovina","Germany","Gabon","French Polynesia","France","Finland","Fiji","Faroe Islands","Estonia","El Salvador","Egypt","Ecuador","Dominican Republic","Denmark","Azerbaijan","Cyprus","Cuba","Costa Rica","Congo","Colombia","China, mainland","Chile","Sri Lanka","Cayman Islands","Cabo Verde","Canada","Bulgaria","Brunei Darussalam","Brazil","Bolivia (Plurinational State of)","Bangladesh","Barbados","Austria","Australia","Argentina","Angola","Algeria","Afghanistan"
"Sweden","     0.00"," 0.00000","0","     0.00000","0","   0.0000","      0.00","    0.00000","0.000000e+00","0","0","0","    0.00000","   0.000000","   0.0000","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","   0.000","0","0","    0.0000","  0.0000","  0.0000","0.000000e+00","0","0","      0.0000","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 0.00000","0","0"
"Eswatini","     0.00"," 0.00000","0","     0.00000","0","   0.0000","      0.00","    0.00000","0.000000e+00","0","0","0","    0.00000","   0.000000","   0.0000","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","   0.000","0","0","    0.0000","  0.0000","  0.0000","0.000000e+00","0","0","      0.0000","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 0.00000","0","0"
"Suriname","     0.00"," 0.00000","0","     0.00000","0","   0.0000","      0.00","    0.00000","0.000000e+00","0","0","0","    0.00000","   0.000000","   0.0000","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","   0.000","0","0","    0.0000","  0.0000","  0.0000","0.000000e+00","0","0","      0.0000","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 0.00000","0","0"
"Sudan (former)","     0.00"," 0.00000","0","     0.00000","0","   0.0000","      0.00","    0.00000","0.000000e+00","0","0","0","    0.00000","   0.000000","   0.0000","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","   0.000","0","0","    0.0000","  0.0000","  0.0000","0.000000e+00","0","0","      0.0000","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 0.00000","0","0"
"Spain","     0.00"," 0.00000","0","     0.00000","0","   0.0000","      0.00","    0.00000","7.319540e+03","0","0","0","    0.00000","   0.000000","   0.0000","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","1.794019e+07","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","29278.16","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","   0.000","0","0","    0.0000","  0.0000","  0.0000","7.319540e+03","0","0","1222363.2184","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 0.00000","0","0"
"South Africa","     0.00"," 0.00000","0","     0.00000","0"," 227.1211","      0.00","    0.00000","0.000000e+00","0","0","0","    0.00000","   0.000000","4854.7141","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","104.0972","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","17876.33","    0.00","0","0","  0.00000","0"," 0.00000","0","378743.4056","94.6338","9.46338","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","   0.000","0","0","    0.0000","  0.0000","  0.0000","0.000000e+00","0","0","      0.0000","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 9.46338","0","0"
"Singapore","     0.00"," 0.00000","0","     0.00000","0","   0.0000","      0.00","    0.00000","0.000000e+00","0","0","0","    0.00000","   0.000000","   0.0000","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","   0.000","0","0","    0.0000","  0.0000","  0.0000","0.000000e+00","0","0","      0.0000","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 0.00000","0","0"
"Slovakia","     0.00"," 0.00000","0","     0.00000","0","   0.0000","      0.00","    0.00000","0.000000e+00","0","0","0","    0.00000","   0.000000","   0.0000","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","   0.000","0","0","    0.0000","  0.0000","  0.0000","0.000000e+00","0","0","      0.0000","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 0.00000","0","0"
"Slovenia","     0.00"," 0.00000","0","     0.00000","0","   0.0000","      0.00","    0.00000","0.000000e+00","0","0","0","    0.00000","   0.000000","   0.0000","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","   0.000","0","0","    0.0000","  0.0000","  0.0000","0.000000e+00","0","0","      0.0000","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 0.00000","0","0"
"Sierra Leone","     0.00"," 0.00000","0","     0.00000","0","   0.0000","      0.00","    0.00000","0.000000e+00","0","0","0","    0.00000","   0.000000","   0.0000","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","   0.000","0","0","    0.0000","  0.0000","  0.0000","0.000000e+00","0","0","      0.0000","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 0.00000","0","0"
"Saudi Arabia","     0.00"," 0.00000","0","     0.00000","0","   0.0000","      0.00","    0.00000","0.000000e+00","0","0","0","    0.00000","   0.000000","   0.0000","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","   0.000","0","0","    0.0000","  0.0000","  0.0000","0.000000e+00","0","0","      0.0000","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 0.00000","0","0"
"Russian Federation","     0.00"," 0.00000","0","     0.00000","0","   0.0000","      0.00","    0.00000","0.000000e+00","0","0","0","    0.00000","   0.000000","   0.0000","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","   0.000","0","0","    0.0000","  0.0000","  0.0000","0.000000e+00","0","0","      0.0000","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 0.00000","0","0"
"Romania","204367.09"," 0.00000","0","     0.00000","0","   0.0000","1454408.07","47085.86191","0.000000e+00","0","0","0","   65.67066","   0.000000","   0.0000","53521.58642"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","1.123494e+06"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","819569.81407","0.000000","   0.000","0","0","33689.0476","  0.0000","  0.0000","5.754720e+05","0","0","   7158.1017","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","382071.9","0"," 0.00000","   0.000","    0.0000","0","74536.1970"," 0.00000","0.000000"," 0.00000","0","0"
"Zimbabwe","     0.00"," 0.00000","0","     0.00000","0","   0.0000","      0.00","    0.00000","0.000000e+00","0","0","0","    0.00000","   0.000000","   0.0000","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","   0.000","0","0","    0.0000","  0.0000","  0.0000","0.000000e+00","0","0","      0.0000","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 0.00000","0","0"
"Qatar","     0.00"," 0.00000","0","     0.00000","0","   0.0000","      0.00","    0.00000","0.000000e+00","0","0","0","    0.00000","   0.000000","   0.0000","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","   0.000","0","0","    0.0000","  0.0000","  0.0000","0.000000e+00","0","0","      0.0000","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 0.00000","0","0"
"Guinea-Bissau","     0.00"," 0.00000","0","     0.00000","0","   0.0000","      0.00","    0.00000","0.000000e+00","0","0","0","    0.00000","   0.000000","   0.0000","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","   0.000","0","0","    0.0000","  0.0000","  0.0000","0.000000e+00","0","0","      0.0000","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 0.00000","0","0"
"Portugal","     0.00"," 0.00000","0","     0.00000","0","   0.0000","      0.00","    0.00000","0.000000e+00","0","0","0","    0.00000","   0.000000","   0.0000","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","   0.000","0","0","    0.0000","  0.0000","  0.0000","0.000000e+00","0","0","      0.0000","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 0.00000","0","0"
"Poland","     0.00"," 0.00000","0","     0.00000","0","   0.0000","      0.00","    0.00000","0.000000e+00","0","0","0","    0.00000","   0.000000","   0.0000","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","   0.000","0","0","    0.0000","  0.0000","  0.0000","0.000000e+00","0","0","      0.0000","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 0.00000","0","0"
"Philippines","     0.00"," 0.00000","0","     0.00000","0","   0.0000","      0.00","    0.00000","0.000000e+00","0","0","0","    0.00000","   0.000000","   0.0000","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","   0.000","0","0","    0.0000","  0.0000","  0.0000","0.000000e+00","0","0","      0.0000","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 0.00000","0","0"
"Peru","     0.00"," 0.00000","0","     0.00000","0","   0.0000","      0.00","    0.00000","0.000000e+00","0","0","0","    0.00000","   0.000000","   0.0000","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","   0.000","0","0","    0.0000","  0.0000","  0.0000","0.000000e+00","0","0","      0.0000","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 0.00000","0","0"
"Paraguay","     0.00"," 0.00000","0","     0.00000","0","   0.0000","      0.00","    0.00000","0.000000e+00","0","0","0","    0.00000","   0.000000","   0.0000","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","   0.000","0","0","    0.0000","  0.0000","  0.0000","0.000000e+00","0","0","      0.0000","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 0.00000","0","0"
"Papua New Guinea","     0.00"," 0.00000","0","     0.00000","0","   0.0000","      0.00","    0.00000","0.000000e+00","0","0","0","    0.00000","   0.000000","   0.0000","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","   0.000","0","0","    0.0000","  0.0000","  0.0000","0.000000e+00","0","0","      0.0000","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 0.00000","0","0"
"Czechia","     0.00"," 0.00000","0","     0.00000","0","   0.0000","      0.00","    0.00000","0.000000e+00","0","0","0","    0.00000","   0.000000","   0.0000","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","   0.000","0","0","    0.0000","  0.0000","  0.0000","0.000000e+00","0","0","      0.0000","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 0.00000","0","0"
