"","Belgium","Unspecified Area","Zambia","Democratic Republic of the Congo","British Virgin Islands","Ethiopia","Viet Nam","Venezuela (Bolivarian Republic of)","Uzbekistan","Uruguay","United States of America","Ukraine","United Kingdom","Uganda","United Arab Emirates","Turkey","Trinidad and Tobago","Tonga","Thailand","United Republic of Tanzania","China, Taiwan Province of","Turkmenistan","Syrian Arab Republic","Switzerland","Sweden","Eswatini","Suriname","Sudan (former)","Spain","South Africa","Singapore","Slovakia","Slovenia","Sierra Leone","Saudi Arabia","Sao Tome and Principe","Saint Helena, Ascension and Tristan da Cunha","Serbia and Montenegro","Russian Federation","Romania","Zimbabwe","Qatar","Guinea-Bissau","Portugal","Poland","Philippines","Peru","Paraguay","Papua New Guinea","Czechia","Panama","Norway","Niger","Nicaragua","New Zealand","The former Yugoslav Republic of Macedonia","New Caledonia","Netherlands Antilles (former)","Netherlands","Nepal","Republic of Moldova","Micronesia (Federated States of)","Mozambique","Morocco","Mongolia","Mexico","Mauritius","Mauritania","Malta","Maldives","Malaysia","Malawi","Madagascar","China, Macao SAR","Lithuania","Libya","Lebanon","Lao People's Democratic Republic","Latvia","Kuwait","Republic of Korea","Democratic People's Republic of Korea","Cambodia","Kenya","Kyrgyzstan","Jordan","Japan","Jamaica","Kazakhstan","C??te d'Ivoire","Italy","Israel","Ireland","Iraq","Iran (Islamic Republic of)","Indonesia","India","Iceland","Croatia","Hungary","China, Hong Kong SAR","Honduras","Guatemala","Guam","Greece","Ghana","Bosnia and Herzegovina","Germany","Gabon","French Polynesia","France","Finland","Fiji","Faroe Islands","Estonia","El Salvador","Egypt","Ecuador","Dominican Republic","Denmark","Azerbaijan","Cyprus","Cuba","Costa Rica","Congo","Colombia","China, mainland","Chile","Sri Lanka","Cayman Islands","Cabo Verde","Canada","Cameroon","Myanmar","Bulgaria","Brunei Darussalam","Solomon Islands","Belize","Aruba","Brazil","Bolivia (Plurinational State of)","Bermuda","Bangladesh","Barbados","Bahamas","Austria","Australia","Argentina","Angola","Algeria","Albania","Afghanistan"
"Suriname","    0.0000","    0.000","0","  0.0000","0","0","    0.0","0","0","  0.0000","     0.00000"," 0.00000","     0.00000","0","   0.000","      0.00","0","0","     0.00","0","    0.0"," 0.00000","    0.00","    0.0000","   0.0000","0","0","0","    0.0000","    0.00","    0.00"," 0.00000"," 0.00000","0","    0.0000","0","0","     0.000","0.000000e+00","   0.000000","0","0","0","     0.00000","   0.000","   0.000","    0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0","0.000000e+00"," 0.00000","0","0","  0.0000","0.000000","0","0"," 0.0000","0.00000","    0.00","0","     0.000","0","0","0","0","0","0","0","0","0","    0.00","0","0","    0.0","0","    0.00","    0.00","0","      0","0","     0.00000","     0.00","     0.000","0","0","     0.00","0","0","     0.000","   0.000","0","0","     0.0","0","0.000000e+00","0","0","    0.0000","    0.00","0","      0.000","0.000000","0","0","0","    0.00","    0.000","0","0","  0.000000","0","   0.000","0","    0.00","0","   0.000","      0","    0.00","  0.0000","0","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.000000","0","0","0.000000","0","    0.000","0","0","   0.000","0","   0.00000","0"
"Sudan (former)","    0.0000","    0.000","0","  0.0000","0","0","    0.0","0","0","  0.0000","     0.00000"," 0.00000","     0.00000","0","   0.000","      0.00","0","0","     0.00","0","    0.0"," 0.00000","    0.00","    0.0000","   0.0000","0","0","0","    0.0000","    0.00","    0.00"," 0.00000"," 0.00000","0","    0.0000","0","0","     0.000","0.000000e+00","   0.000000","0","0","0","     0.00000","   0.000","   0.000","    0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0","0.000000e+00"," 0.00000","0","0","  0.0000","0.000000","0","0"," 0.0000","0.00000","    0.00","0","     0.000","0","0","0","0","0","0","0","0","0","    0.00","0","0","    0.0","0","    0.00","    0.00","0","      0","0","     0.00000","     0.00","     0.000","0","0","     0.00","0","0","     0.000","   0.000","0","0","     0.0","0","0.000000e+00","0","0","    0.0000","    0.00","0","      0.000","0.000000","0","0","0","    0.00","    0.000","0","0","  0.000000","0","   0.000","0","    0.00","0","   0.000","      0","    0.00","  0.0000","0","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.000000","0","0","0.000000","0","    0.000","0","0","   0.000","0","   0.00000","0"
"Spain","    0.0000"," 3814.887","0","  0.0000","0","0","    0.0","0","0","  0.0000","     0.00000"," 0.00000","122076.38161","0","   0.000","      0.00","0","0","     0.00","0","    0.0"," 0.00000","    0.00","    0.0000","3814.8869","0","0","0","30519.0954","    0.00","    0.00"," 0.00000"," 0.00000","0","    0.0000","0","0","     0.000","0.000000e+00","   0.000000","0","0","0","375766.36214","   0.000","   0.000","    0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0","0.000000e+00"," 0.00000","0","0","  0.0000","0.000000","0","0"," 0.0000","0.00000","    0.00","0","     0.000","0","0","0","0","0","0","0","0","0","    0.00","0","0","    0.0","0","    0.00","    0.00","0","      0","0","     0.00000","     0.00","     0.000","0","0","     0.00","0","0","     0.000","   0.000","0","0","     0.0","0","0.000000e+00","0","0","    0.0000","    0.00","0","7950224.352","0.000000","0","0","0","    0.00","    0.000","0","0","  0.000000","0","   0.000","0","    0.00","0","   0.000","      0","    0.00","  0.0000","0","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.000000","0","0","0.000000","0","    0.000","0","0","   0.000","0","   0.00000","0"
"South Africa","    0.0000","    0.000","0","916.6737","0","0","    0.0","0","0","  0.0000","     0.00000"," 0.00000","     0.00000","0","1571.441","      0.00","0","0","     0.00","0","    0.0"," 0.00000","    0.00","    0.0000","   0.0000","0","0","0","    0.0000","    0.00","    0.00"," 0.00000"," 0.00000","0","20646.9839","0","0","     0.000","0.000000e+00","   0.000000","0","0","0","     0.00000","   0.000","   0.000","    0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0","0.000000e+00"," 0.00000","0","0","392.8602","0.000000","0","0"," 0.0000","0.00000","    0.00","0","     0.000","0","0","0","0","0","0","0","0","0","    0.00","0","0","65913.2","0","    0.00","    0.00","0","      0","0","     0.00000","     0.00","     0.000","0","0","     0.00","0","0","     0.000","   0.000","0","0","     0.0","0","0.000000e+00","0","0","    0.0000","14142.97","0","      0.000","0.000000","0","0","0","    0.00","    0.000","0","0","  0.000000","0","   0.000","0","    0.00","0","   0.000","      0","    0.00","  0.0000","0","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.000000","0","0","0.000000","0","    0.000","0","0","4277.811","0","   0.00000","0"
"Singapore","    0.0000","    0.000","0","  0.0000","0","0","    0.0","0","0","  0.0000","     0.00000"," 0.00000","     0.00000","0","   0.000","      0.00","0","0","     0.00","0","    0.0"," 0.00000","    0.00","    0.0000","   0.0000","0","0","0","    0.0000","    0.00","    0.00"," 0.00000"," 0.00000","0","    0.0000","0","0","     0.000","0.000000e+00","   0.000000","0","0","0","     0.00000","   0.000","   0.000","    0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0","0.000000e+00"," 0.00000","0","0","  0.0000","0.000000","0","0"," 0.0000","0.00000","    0.00","0","     0.000","0","0","0","0","0","0","0","0","0","    0.00","0","0","    0.0","0","    0.00","    0.00","0","      0","0","     0.00000","     0.00","     0.000","0","0","     0.00","0","0","     0.000","   0.000","0","0","     0.0","0","0.000000e+00","0","0","    0.0000","    0.00","0","      0.000","0.000000","0","0","0","    0.00","    0.000","0","0","  0.000000","0","   0.000","0","    0.00","0","   0.000","      0","    0.00","  0.0000","0","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.000000","0","0","0.000000","0","    0.000","0","0","   0.000","0","   0.00000","0"
"Slovakia","    0.0000","    0.000","0","  0.0000","0","0","    0.0","0","0","  0.0000","     0.00000"," 0.00000","     0.00000","0","   0.000","      0.00","0","0","     0.00","0","    0.0"," 0.00000","    0.00","    0.0000","   0.0000","0","0","0","    0.0000","    0.00","    0.00"," 0.00000"," 0.00000","0","    0.0000","0","0","     0.000","0.000000e+00","   0.000000","0","0","0","     0.00000","   0.000","   0.000","    0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0","0.000000e+00"," 0.00000","0","0","  0.0000","0.000000","0","0"," 0.0000","0.00000","    0.00","0","     0.000","0","0","0","0","0","0","0","0","0","    0.00","0","0","    0.0","0","    0.00","    0.00","0","      0","0","     0.00000","     0.00","     0.000","0","0","     0.00","0","0","     0.000","   0.000","0","0","     0.0","0","0.000000e+00","0","0","    0.0000","    0.00","0","      0.000","0.000000","0","0","0","    0.00","    0.000","0","0","  0.000000","0","   0.000","0","    0.00","0","   0.000","      0","    0.00","  0.0000","0","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.000000","0","0","0.000000","0","    0.000","0","0","   0.000","0","   0.00000","0"
"Slovenia","    0.0000","    0.000","0","  0.0000","0","0","    0.0","0","0","  0.0000","     0.00000"," 0.00000","     0.00000","0","   0.000","      0.00","0","0","     0.00","0","    0.0"," 0.00000","    0.00","    0.0000","   0.0000","0","0","0","    0.0000","    0.00","    0.00"," 0.00000"," 0.00000","0","    0.0000","0","0","     0.000","0.000000e+00","   0.000000","0","0","0","     0.00000","   0.000","   0.000","    0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0","0.000000e+00"," 0.00000","0","0","  0.0000","0.000000","0","0"," 0.0000","0.00000","    0.00","0","     0.000","0","0","0","0","0","0","0","0","0","    0.00","0","0","    0.0","0","    0.00","    0.00","0","      0","0","     0.00000","     0.00","     0.000","0","0","     0.00","0","0","     0.000","   0.000","0","0","     0.0","0","0.000000e+00","0","0","    0.0000","    0.00","0","      0.000","0.000000","0","0","0","    0.00","    0.000","0","0","  0.000000","0","   0.000","0","    0.00","0","   0.000","      0","    0.00","  0.0000","0","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.000000","0","0","0.000000","0","    0.000","0","0","   0.000","0","   0.00000","0"
"Sierra Leone","    0.0000","    0.000","0","  0.0000","0","0","    0.0","0","0","  0.0000","     0.00000"," 0.00000","     0.00000","0","   0.000","      0.00","0","0","     0.00","0","    0.0"," 0.00000","    0.00","    0.0000","   0.0000","0","0","0","    0.0000","    0.00","    0.00"," 0.00000"," 0.00000","0","    0.0000","0","0","     0.000","0.000000e+00","   0.000000","0","0","0","     0.00000","   0.000","   0.000","    0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0","0.000000e+00"," 0.00000","0","0","  0.0000","0.000000","0","0"," 0.0000","0.00000","    0.00","0","     0.000","0","0","0","0","0","0","0","0","0","    0.00","0","0","    0.0","0","    0.00","    0.00","0","      0","0","     0.00000","     0.00","     0.000","0","0","     0.00","0","0","     0.000","   0.000","0","0","     0.0","0","0.000000e+00","0","0","    0.0000","    0.00","0","      0.000","0.000000","0","0","0","    0.00","    0.000","0","0","  0.000000","0","   0.000","0","    0.00","0","   0.000","      0","    0.00","  0.0000","0","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.000000","0","0","0.000000","0","    0.000","0","0","   0.000","0","   0.00000","0"
"Saudi Arabia","    0.0000","    0.000","0","  0.0000","0","0","    0.0","0","0","  0.0000","     0.00000"," 0.00000","     0.00000","0","   0.000","      0.00","0","0","     0.00","0","    0.0"," 0.00000","    0.00","    0.0000","   0.0000","0","0","0","    0.0000","    0.00","    0.00"," 0.00000"," 0.00000","0","    0.0000","0","0","     0.000","0.000000e+00","   0.000000","0","0","0","     0.00000","   0.000","   0.000","    0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0","0.000000e+00"," 0.00000","0","0","  0.0000","0.000000","0","0"," 0.0000","0.00000","    0.00","0","     0.000","0","0","0","0","0","0","0","0","0","    0.00","0","0","    0.0","0","    0.00","    0.00","0","      0","0","     0.00000","     0.00","     0.000","0","0","     0.00","0","0","     0.000","   0.000","0","0","     0.0","0","0.000000e+00","0","0","    0.0000","    0.00","0","      0.000","0.000000","0","0","0","    0.00","    0.000","0","0","  0.000000","0","   0.000","0","    0.00","0","   0.000","      0","    0.00","  0.0000","0","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.000000","0","0","0.000000","0","    0.000","0","0","   0.000","0","   0.00000","0"
"Sao Tome and Principe","    0.0000","    0.000","0","  0.0000","0","0","    0.0","0","0","  0.0000","     0.00000"," 0.00000","     0.00000","0","   0.000","      0.00","0","0","     0.00","0","    0.0"," 0.00000","    0.00","    0.0000","   0.0000","0","0","0","    0.0000","    0.00","    0.00"," 0.00000"," 0.00000","0","    0.0000","0","0","     0.000","0.000000e+00","   0.000000","0","0","0","     0.00000","   0.000","   0.000","    0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0","0.000000e+00"," 0.00000","0","0","  0.0000","0.000000","0","0"," 0.0000","0.00000","    0.00","0","     0.000","0","0","0","0","0","0","0","0","0","    0.00","0","0","    0.0","0","    0.00","    0.00","0","      0","0","     0.00000","     0.00","     0.000","0","0","     0.00","0","0","     0.000","   0.000","0","0","     0.0","0","0.000000e+00","0","0","    0.0000","    0.00","0","      0.000","0.000000","0","0","0","    0.00","    0.000","0","0","  0.000000","0","   0.000","0","    0.00","0","   0.000","      0","    0.00","  0.0000","0","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.000000","0","0","0.000000","0","    0.000","0","0","   0.000","0","   0.00000","0"
"Saint Helena, Ascension and Tristan da Cunha","    0.0000","    0.000","0","  0.0000","0","0","    0.0","0","0","  0.0000","     0.00000"," 0.00000","     0.00000","0","   0.000","      0.00","0","0","     0.00","0","    0.0"," 0.00000","    0.00","    0.0000","   0.0000","0","0","0","    0.0000","    0.00","    0.00"," 0.00000"," 0.00000","0","    0.0000","0","0","     0.000","0.000000e+00","   0.000000","0","0","0","     0.00000","   0.000","   0.000","    0.00","0","0","  0.000000","0","0.000000","0","0","0","0","0","0","0.000000e+00"," 0.00000","0","0","  0.0000","0.000000","0","0"," 0.0000","0.00000","    0.00","0","     0.000","0","0","0","0","0","0","0","0","0","    0.00","0","0","    0.0","0","    0.00","    0.00","0","      0","0","     0.00000","     0.00","     0.000","0","0","     0.00","0","0","     0.000","   0.000","0","0","     0.0","0","0.000000e+00","0","0","    0.0000","    0.00","0","      0.000","0.000000","0","0","0","    0.00","    0.000","0","0","  0.000000","0","   0.000","0","    0.00","0","   0.000","      0","    0.00","  0.0000","0","0","0","0","0","     0.0","0","0","0","0","  0.0000","0.000000","0","0","0.000000","0","    0.000","0","0","   0.000","0","   0.00000","0"
